package_module	source_module	source_policy
01_animal_experiment	01_animal_experiment	read_only_curated_copy
02_metagenomics	02_metagenomics	read_only_curated_copy
03_serum_metabolomics	03_untargeted_serum_metabolomics	read_only_curated_copy
04_multiomics_correlation	04_correlation_analysis	read_only_curated_copy
05_mendelian_randomization	05_mendelian_randomization_analysis	read_only_curated_copy
06_network_pharmacology	06_network_pharmacology	read_only_curated_copy
07_immune_infiltration	07_CIBERSORT	read_only_curated_copy
08_single_cell_transcriptomics	08_AUCell	read_only_curated_copy
09_molecular_docking_dynamics	09_Molecular_docking	read_only_curated_copy
