Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: ChemSpider Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: Arita Lab 6549 Flavonoid Structure Database,Mass List Match: HMDB All metabolites (v5. 217719 cpds),Mass List Match: Natural Products Atlas 2023_06,MS2,Reference Ion,Area: HQQD_raw_file_F1,Peak Rating (Max.),Peak Rating: HQQD_raw_file_F1,Filter_Source,PubChem_CID,SMILES,Search_Status,Match_Source,,GI absorption,Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations
,FALSE,Glycitein,C16 H12 O5,Full match,Full match,Not the top hit,Not the top hit,-2.27,284.06783,285.0751,9.092,2397100432,191,14,97.6,9.9,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,2397100432,9.5,9.5,Layer1_Strict,5317750,COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,"(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[(5-hydroxy-8-methoxy-4-oxo-2-phenyl-4H-chromen-7-yl)oxy]oxane-2-carboxylic acid",C22 H20 O11,Full match,Full match,Not the top hit,Not the top hit,-2.6,460.09936,461.10638,9.878,35593408391,11,1,95.3,9.8,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,35593408391,9.5,9.5,Layer1_Strict,3084961,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)OC4C(C(C(C(O4)C(=O)O)O)O)O,Success,PubChem_CID,,Low,1,0,1,1,2
,FALSE,Hesperetin,C16 H14 O6,Full match,Full match,Full match,Full match,-2.26,302.07836,303.08563,8.014,1860468368,132,7,96.2,55.3,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1860468368,7.8,7.8,Layer1_Strict,72281,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Nobiletin,C21 H22 O8,Full match,Full match,Full match,Not the top hit,-3.38,402.13011,403.13739,14.256,37576477703,58,7,94.7,9.7,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,37576477703,10,10,Layer1_Strict,72344,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,"7,8-dimethoxy-11-methyl-17,19-dioxa-11-azatetracyclo[12.7.0.04,9.016,20]henicosa-1(21),4(9),5,7,14,16(20)-hexaen-2-one",C21 H23 N O5,Not the top hit,Full match,No match,Not the top hit,-2.43,369.15672,370.164,8.942,953744050,22,3,90.8,69.5,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,953744050,8.9,8.9,Layer1_Strict,98570,CN1CCC2=CC3=C(C=C2C(=O)CC4=C(C1)C(=C(C=C4)OC)OC)OCO3,Not Found,PubChem_CID,,High,0,0,0,0,0
,FALSE,Dibutyl phthalate,C16 H22 O4,Full match,Full match,Full match,Partial match,-1.09,278.15151,279.15878,0.686,1505713910,100,5,99.9,10,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1505713910,5.1,5.1,Layer1_Strict,3026,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,"2-Amino-1,3,4-octadecanetriol",C18 H39 N O3,Full match,Full match,Full match,Full match,-1.94,317.29238,318.29965,13.974,496285686.9,3,1,86,9.3,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,496285686.9,10,10,Layer1_Strict,248575,CCCCCCCCCCCCCCC(C(C(CO)N)O)O,Success,PubChem_CID,,High,0,0,1,0,1
,FALSE,Hesperidin,C28 H34 O15,Full match,Full match,Full match,Full match,-1.06,610.18913,609.1825,8.01,2810574413,23,2,96.2,60.1,Multiple matches found,Multiple matches found,No matches found,DDA for preferred ion,[M-H]-1,2810574413,8.9,8.9,Layer1_Strict,10621,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,Success,PubChem_CID,,Low,3,4,1,1,4
,FALSE,Naringin,C27 H32 O14,Not the top hit,Full match,Full match,Full match,-0.65,580.17883,579.17151,7.449,1095863982,61,2,85.4,36.9,Multiple matches found,Multiple matches found,Single match found,DDA for preferred ion,[M-H]-1,1095863982,8.4,8.4,Layer1_Strict,442428,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,Success,PubChem_CID,,Low,3,4,1,1,3
,FALSE,(-)-Caryophyllene oxide,C15 H24 O,Full match,Full match,Full match,Full match,-1.68,220.18234,221.18962,12.426,199954881.8,141,2,86,81.7,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,199954881.8,7.8,7.8,Layer1_Strict,1742210,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,Success,PubChem_CID,,High,0,0,0,0,1
,FALSE,Sorbic acid,C6 H8 O2,Full match,Full match,Full match,Full match,-0.56,112.05237,113.05965,8.373,1.14532E+11,36,1,99,66.6,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1.14532E+11,6.7,6.7,Layer1_Strict,643460,CC=CC=CC(=O)O,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,Ephedrine,C10 H15 N O,Full match,Full match,Full match,Full match,-1.98,165.11504,166.12231,3.735,6868419577,94,3,99.8,70.2,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,6868419577,7.3,7.3,Layer1_Strict,9294,CC(C(C1=CC=CC=C1)O)NC,Success,PubChem_CID,,High,0,0,0,0,1
,FALSE,Acetophenone,C8 H8 O,Full match,Full match,Partial match,Partial match,-0.28,120.05748,121.06476,2.306,5242636456,12,1,80.6,53.8,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,5242636456,9.5,9.5,Layer1_Strict,7410,CC(=O)C1=CC=CC=C1,Success,PubChem_CID,,High,0,3,0,0,2
,FALSE,"2,4,6-Trihydroxyacetophenone",C8 H8 O4,Full match,Full match,Not the top hit,Not the top hit,-3.14,168.04173,167.03423,5.893,270341177.3,63,11,95.8,9.8,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M-H]-1,270341177.3,9.5,9.5,Layer1_Strict,68073,CC(=O)C1=C(C=C(C=C1O)O)O,Success,PubChem_CID,,High,0,0,0,0,1
,FALSE,Oxymatrine,C15 H24 N2 O2,Full match,Full match,Full match,Full match,-0.05,264.18376,265.19104,3.027,324049994.5,198,3,88.9,9.4,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,324049994.5,7.3,7.3,Layer1_Strict,24864132,C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-],Success,Name,,High,0,0,0,0,0
,FALSE,D-(+)-Proline,C5 H9 N O2,Full match,Full match,Full match,Full match,0.67,115.06341,116.07067,2.61,2894323610,42,2,91.9,9.6,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,2894323610,7.3,7.3,Layer1_Strict,8988,C1CC(NC1)C(=O)O,Success,PubChem_CID,,High,0,4,0,0,2
,FALSE,Prunin,C21 H22 O10,Not the top hit,Full match,No match,Full match,-1.48,434.12065,435.12793,7.44,95479042.84,49,1,89,9.4,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,95479042.84,8.4,8.4,Layer1_Strict,92794,C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O,Success,PubChem_CID,,Low,1,0,1,1,2
,FALSE,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one",C15 H12 O6,Full match,Full match,Full match,Full match,-2.07,288.06279,289.07007,6.939,152187349.4,113,7,91.5,40.6,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,152187349.4,9.5,9.5,Layer1_Strict,11095,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,"4',7-Dihydroxyflavanone",C15 H12 O4,Full match,Full match,Full match,Full match,-1.88,256.07308,257.08035,7.15,511111411,174,9,89.8,66.1,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,511111411,7.3,7.3,Layer1_Strict,1889,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,Success,Name,,High,0,0,0,0,0
,FALSE,"4,5-Dicaffeoylquinic acid",C25 H24 O12,Not the top hit,Full match,Full match,Full match,-0.76,516.12638,515.11914,8.261,1849253948,42,1,97.3,62.9,Multiple matches found,Multiple matches found,No matches found,DDA for preferred ion,[M-H]-1,1849253948,8.9,8.9,Layer1_Strict,5281780,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,Success,PubChem_CID,,Low,3,1,1,1,3
,FALSE,Neochlorogenic acid,C16 H18 O9,Full match,Full match,Full match,Full match,-0.43,354.09493,353.08786,3.725,2342911463,70,2,94.9,9.7,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M-H]-1,2342911463,8.4,8.4,Layer1_Strict,5280633,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,Success,PubChem_CID,,Low,1,1,1,1,2
,FALSE,Chlorogenic acid,C16 H18 O9,Full match,Full match,Full match,Full match,-0.55,354.09489,353.08783,5.144,3821396843,70,2,97.6,9.9,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M-H]-1,3821396843,8.9,8.9,Layer1_Strict,1794427,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,Success,PubChem_CID,,Low,1,1,1,1,2
,FALSE,D-(-)-Quinic acid,C7 H12 O6,Full match,Full match,Full match,Full match,-4.54,192.06252,191.05524,1.052,7771051816,17,1,94.4,9.7,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M-H]-1,7771051816,8.4,8.4,Layer1_Strict,6508,C1C(C(C(CC1(C(=O)O)O)O)O)O,Success,PubChem_CID,,Low,0,1,0,0,2
,FALSE,Adenine,C5 H5 N5,Full match,Full match,Partial match,Partial match,-1.39,135.05431,136.06158,1.862,14853810488,8,1,99.7,10,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,14853810488,7.8,7.8,Layer1_Strict,190,C1=NC2=NC=NC(=C2N1)N,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,Adenosine,C10 H13 N5 O4,Full match,Full match,Partial match,Full match,-1.9,267.09625,268.10352,2.296,10428742347,86,1,99.4,10,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,10428742347,8.9,8.9,Layer1_Strict,60961,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Success,PubChem_CID,,Low,0,1,0,1,0
,FALSE,D-(+)-Tryptophan,C11 H12 N2 O2,Full match,Full match,Full match,Full match,-2.34,204.0894,205.09666,4.068,16492356752,189,3,97.6,60.8,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,16492356752,8.4,8.4,Layer1_Strict,9060,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,L-Phenylalanine,C9 H11 N O2,Full match,Full match,Full match,Full match,-0.63,165.07887,166.08615,2.885,5770124100,129,1,98.5,64.7,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,5770124100,10,10,Layer1_Strict,6140,C1=CC=C(C=C1)CC(C(=O)O)N,Success,PubChem_CID,,High,0,0,0,0,1
,FALSE,"5,7-dihydroxy-2-phenyl-4H-chromen-4-one",C15 H10 O4,Not the top hit,Full match,Partial match,Not the top hit,-2.34,254.05731,255.06459,9.206,172510351.8,163,5,94.2,9.7,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,172510351.8,8.9,8.9,Layer1_Strict,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Baicalin,C21 H18 O11,Not the top hit,Full match,No match,Not the top hit,-1.59,446.0842,447.09116,9.246,4048276561,2,3,94.3,9.7,Multiple matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,4048276561,7.8,7.8,Layer1_Strict,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,Success,PubChem_CID,,Low,2,0,1,1,3
,FALSE,Psoralen,C11 H6 O3,Full match,Full match,Full match,Full match,-1.23,186.03147,187.03874,11.864,366503569,6,1,96,54.2,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,366503569,8.9,8.9,Layer1_Strict,6199,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,Success,PubChem_CID,,High,0,0,0,0,1
,FALSE,4-Aminophenol,C6 H7 N O,Full match,Full match,Partial match,Partial match,0.87,109.05286,110.06013,1.813,415139718.7,21,5,93.6,9.7,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,415139718.7,6.2,6.2,Layer1_Strict,403,C1=CC(=CC=C1N)O,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,L-Tyrosine,C9 H11 N O3,Full match,Full match,Full match,Full match,-0.55,181.07379,182.08107,2.449,1113724993,91,2,94.5,83.7,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,1113724993,9.5,9.5,Layer1_Strict,6057,C1=CC(=CC=C1CC(C(=O)O)N)O,Success,PubChem_CID,,High,0,0,0,0,2
,FALSE,Genistin,C21 H20 O10,Not the top hit,Full match,No match,Not the top hit,-2.56,432.10454,433.11182,8.731,725804261.8,1,4,91.6,9.6,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,725804261.8,9.5,9.5,Layer1_Strict,5281377,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,Success,PubChem_CID,,Low,1,0,1,1,2
,FALSE,Daidzin,C21 H20 O9,Not the top hit,Full match,No match,Full match,-2.12,416.10985,417.11713,6.294,2375133991,2,1,96,9.8,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,2375133991,8.9,8.9,Layer1_Strict,107971,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,Success,PubChem_CID,,Low,0,0,1,1,0
,FALSE,Daidzein,C15 H10 O4,Full match,Full match,Full match,Not the top hit,-0.43,254.0578,253.05052,16.526,32168619.75,136,3,87.5,9.4,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M-H]-1,32168619.75,7,7,Layer1_Strict,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Vitexin,C21 H20 O10,Full match,Full match,No match,Full match,-1.54,432.10498,433.11215,4.735,3814351095,72,4,93.5,46.2,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,3814351095,9.5,9.5,Layer1_Strict,5280441,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,Success,PubChem_CID,,Low,1,0,1,1,2
,FALSE,Apigenin 7-O-glucuronide,C21 H18 O11,No match,Full match,Full match,Full match,-3.42,446.08338,447.09039,8.633,90076237643,133,3,96.3,9.8,Multiple matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,90076237643,8.9,8.9,Layer1_Strict,5319484,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,Success,PubChem_CID,,Low,2,0,1,1,3
,FALSE,Apigenin,C15 H10 O5,Full match,Full match,Full match,Not the top hit,-1.32,270.05247,271.05963,11.913,1583424290,132,14,99.4,10,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1583424290,9.5,9.5,Layer1_Strict,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Scutellarin,C21 H18 O12,No match,Full match,Full match,Full match,-0.82,462.07945,463.08676,7.198,1397831447,120,2,92.2,9.6,Multiple matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,1397831447,8.9,8.9,Layer1_Strict,185617,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O)O,Success,PubChem_CID,,Low,2,0,1,1,3
,FALSE,Pelargonidin,C15 H10 O5,No match,Full match,No match,Partial match,-4.68,270.05156,271.05872,8.63,4836534157,9,14,97.2,9.9,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,4836534157,8.9,8.9,Layer1_Strict,440832,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O,Formula Mismatch (C15H11O5+),PubChem_CID,,High,0,0,0,0,0
,FALSE,4-Hydroxybenzaldehyde,C7 H6 O2,Full match,Full match,Full match,Full match,-0.28,122.03674,123.04402,6.573,366324894.3,10,1,84.4,9.2,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,366324894.3,8.9,8.9,Layer1_Strict,126,C1=CC(=CC=C1C=O)O,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,Isoliquiritigenin,C15 H12 O4,Full match,Full match,Not the top hit,Partial match,-2.08,256.07303,257.08029,6.951,315699085.8,174,9,96.5,89.2,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,315699085.8,8.9,8.9,Layer1_Strict,638278,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,Success,PubChem_CID,,High,0,0,0,0,0
