Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: ChemSpider Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: Arita Lab 6549 Flavonoid Structure Database,Mass List Match: HMDB All metabolites (v5. 217719 cpds),Mass List Match: Natural Products Atlas 2023_06,MS2,Reference Ion,Area: HQQD_raw_file_F1,Peak Rating (Max.),Peak Rating: HQQD_raw_file_F1,Filter_Source,PubChem_CID,SMILES,Search_Status,Match_Source,,GI absorption,Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations
,FALSE,4-Hydroxybenzoic acid,C7 H6 O3,No results,Invalid mass,No results,No results,-8.2,138.03056,137.02328,9.033,3881343426,0,4,85.8,9.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M-H]-1,3881343426,9.5,9.5,Layer2_Loose,135,C1=CC(=CC=C1C(=O)O)O,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,Naringenin chalcone,C15 H12 O5,Full match,Full match,Full match,Full match,-2.49,272.0678,273.07507,7.674,1171575755,146,9,96.8,89.8,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1171575755,6.7,6.7,Layer1_Strict,5280960,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2O)O)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Miquelianin,C21 H18 O13,No match,Full match,Full match,Full match,-0.23,478.07463,477.06735,7.177,100193998.7,79,1,91.1,64.3,Multiple matches found,Multiple matches found,No matches found,DDA for preferred ion,[M-H]-1,100193998.7,8.9,8.9,Layer1_Strict,5274585,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O,Success,PubChem_CID,,Low,2,1,1,1,3
,FALSE,Pyrogallol,C6 H6 O3,Full match,Full match,Not the top hit,Not the top hit,-1.09,126.03156,127.03883,4.035,2041621344,16,7,98.5,9.9,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,2041621344,8.4,8.4,Layer1_Strict,1057,C1=CC(=C(C(=C1)O)O)O,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,5-Hydroxymethyl-2-furaldehyde,C6 H6 O3,Full match,Full match,Partial match,Not the top hit,0.67,126.03178,127.03903,3.011,1248864017,16,4,99.2,68.3,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1248864017,7.3,7.3,Layer1_Strict,237332,C1=C(OC(=C1)C=O)CO,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,L-Histidine,C6 H9 N3 O2,Full match,Full match,Full match,Partial match,-1.29,155.06928,156.07655,28.267,20462327.43,31,2,84.8,33.4,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,20462327.43,7.2,7.2,Layer1_Strict,6274,C1=C(NC=N1)CC(C(=O)O)N,Success,PubChem_CID,,High,0,3,0,0,2
,FALSE,Phloroglucinol,C6 H6 O3,Full match,Full match,Full match,Full match,-0.36,126.03165,127.03893,4.452,1731106125,16,7,98.2,63.2,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1731106125,8.4,8.4,Layer1_Strict,359,C1=C(C=C(C=C1O)O)O,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,Gallic acid,C7 H6 O5,Full match,Full match,Full match,Full match,-4.36,170.02078,169.0135,2.617,780363680.3,12,1,98.7,9.9,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M-H]-1,780363680.3,9.5,9.5,Layer1_Strict,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,Success,PubChem_CID,,High,0,2,0,0,1
,FALSE,Stachydrine,C7 H13 N O2,Full match,Full match,Full match,Full match,-1.54,143.09441,144.10168,1.413,54231864538,39,3,99.8,10,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,54231864538,7.8,7.8,Layer1_Strict,115244,C[N+]1(CCC[C@H]1C(=O)[O-])C,Success,PubChem_CID,,Low,0,2,0,0,1
,FALSE,Sinapine,C16 H23 N O5,Full match,Full match,Partial match,Partial match,-2.21,309.15694,310.16422,5.763,16868611446,46,1,96.7,9.8,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,16868611446,9.5,9.5,Layer1_Strict,5280385,C[N+](C)(C)CCOC(=O)C=CC1=CC(=C(C(=C1)OC)O)OC,Formula Mismatch (C16H24NO5+),PubChem_CID,,High,0,0,0,0,0
,FALSE,Choline,C5 H13 N O,Full match,Full match,Partial match,Partial match,1.59,103.09988,104.10715,1.405,11020156330,5,1,98.2,9.9,No matches found,Single match found,No matches found,DDA for preferred ion,[M+H]+1,11020156330,6.7,6.7,Layer1_Strict,305,C[N+](C)(C)CCO,Formula Mismatch (C5H14NO+),PubChem_CID,,Low,0,2,0,0,1
,FALSE,Betaine,C5 H11 N O2,Full match,Full match,Partial match,Partial match,0.09,117.07899,118.08627,1.732,14747525530,51,4,91.6,9.6,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,14747525530,7.8,7.8,Layer1_Strict,247,C[N+](C)(C)CC(=O)[O-],Success,PubChem_CID,,Low,0,4,0,0,1
,FALSE,Azelaic acid,C9 H16 O4,Full match,Full match,Full match,Full match,-3.99,188.10411,187.09682,8.377,1374071111,19,1,95.8,9.8,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M-H]-1,1374071111,8.9,8.9,Layer1_Strict,2266,C(CCCC(=O)O)CCCC(=O)O,Success,PubChem_CID,,High,0,0,0,0,1
,FALSE,Gluconic acid,C6 H12 O7,Full match,Full match,Full match,Full match,-3.97,196.05752,195.05025,1.775,1745541179,11,5,95.5,89.5,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M-H]-1,1745541179,6.7,6.7,Layer1_Strict,10690,C(C(C(C(C(C(=O)O)O)O)O)O)O,Success,PubChem_CID,,Low,1,2,0,1,3
,FALSE,Isocitric acid,C6 H8 O7,Full match,Full match,Not the top hit,Not the top hit,-3.71,192.02629,191.01901,1.938,13640752078,23,2,81.9,70.5,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M-H]-1,13640752078,8.9,8.9,Layer1_Strict,1198,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,Success,PubChem_CID,,Low,0,2,0,1,1
,FALSE,trans-Aconitic acid,C6 H6 O6,Full match,Full match,Full match,Full match,-4.77,174.01561,173.00833,2.287,873717645.1,10,3,90.5,9.5,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M-H]-1,873717645.1,7.8,7.8,Layer1_Strict,444212,C(C(=CC(=O)O)C(=O)O)C(=O)O,Success,PubChem_CID,,High,0,3,0,0,1
,FALSE,"α,α-Trehalose",C12 H22 O11,Not the top hit,Full match,No match,Not the top hit,-0.57,342.11602,387.11423,1.3,14978320752,518,4,89.2,60.2,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+FA-H]-1,14978320752,8.4,8.4,Layer2_Loose,7427,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,Success,PubChem_CID,,Low,2,1,1,1,4
,FALSE,"5-hydroxy-3-(5-hydroxy-2,4-dimethoxyphenyl)-6-methoxy-7-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one",C24 H26 O13,No match,Full match,Partial match,Partial match,-2.52,522.13602,523.14325,8.078,1176137102,114,2,94.7,9.7,Multiple matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,1176137102,8.9,8.9,Layer1_Strict,5281777,COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,Not Found,PubChem_CID,,Low,3,1,1,1,3
,FALSE,"5,7-dihydroxy-2-phenyl-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-(3,4,5-trihydroxyoxan-2-yl)-4H-chromen-4-one",C26 H28 O13,No match,Full match,No match,Partial match,-1.7,548.15206,549.159,7.044,11543312826,2,2,84.3,79.3,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,11543312826,8.9,8.9,Layer1_Strict,21722008,C1[C@@H]([C@@H]([C@H]([C@@H](O1)C2=C(C(=C3C(=C2O)C(=O)C=C(O3)C4=CC=CC=C4)[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O,Not Found,PubChem_CID,,Low,3,3,1,1,3
,FALSE,"5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one",C22 H22 O12,No match,Full match,Full match,Full match,-3.08,478.10965,479.11679,7.828,274271718.2,139,4,93.9,47.2,Multiple matches found,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,274271718.2,6.7,6.7,Layer1_Strict,5318645,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Not Found,PubChem_CID,,Low,2,0,1,1,3
