"Analysis","Variable","Endpoint_Type","Recommended_Test","P_global","Normality_All_Groups","Min_N","Max_N","Plot_Type","Notes","P_global_adjust_method","Significant_global"
"03_flow_cytometry","MLN Treg","percentage","One-way ANOVA + Bonferroni vs Model",0.387615616650736,TRUE,5,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",FALSE
"03_flow_cytometry","MLN Th17","percentage","Kruskal-Wallis + pairwise median test vs Model",0.000370293617834407,FALSE,5,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"03_flow_cytometry","MLN Ratio","ratio","One-way ANOVA + Bonferroni vs Model",0.000978313659505867,TRUE,5,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",TRUE
"03_flow_cytometry","Lung Treg","percentage","One-way ANOVA + Bonferroni vs Model",0.0711336377204802,TRUE,5,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",FALSE
"03_flow_cytometry","Lung Th17","percentage","Kruskal-Wallis + pairwise median test vs Model",0.0168894970129393,FALSE,5,6,"scatter plot with median and 95% CI","Normality not established; thesis-style nonparametric workflow","none; one global test per endpoint",TRUE
"03_flow_cytometry","Lung Ratio","ratio","One-way ANOVA + Bonferroni vs Model",0.00259271362861306,TRUE,5,6,"scatter plot with mean +/- SD","All group Shapiro p > 0.05; thesis-style parametric workflow","none; one global test per endpoint",TRUE
