sdf_heavy_index_0based,sdf_element,docked_heavy_index_0based,docked_pdb_element,mapped
0,O,0,O,True
1,O,17,O,True
2,O,1,O,True
3,O,18,O,True
4,C,2,C,True
5,C,3,C,True
6,C,4,C,True
7,C,5,C,True
8,C,11,C,True
9,C,6,C,True
10,C,7,C,True
11,C,8,C,True
12,C,9,C,True
13,C,10,C,True
14,C,12,C,True
15,C,13,C,True
16,C,14,C,True
17,C,15,C,True
18,C,16,C,True
