pair_id,target,pdb_id,ligand_id,ligand_name,source,mean_affinity_kcal_mol,sd_affinity_kcal_mol,n_runs
MAPK14_3HLL__L08_N_Oleoyl_Alanine,MAPK14,3HLL,L08_N_Oleoyl_Alanine,N-Oleoyl Alanine,metabolite,-6.872333333333333,0.6342431184753473,3
MAPK14_3HLL__L11_PE_P_18_0_18_1_12Z_2OH_9_10,MAPK14,3HLL,L11_PE_P_18_0_18_1_12Z_2OH_9_10,"PE(P-18:0/18:1(12Z)-2OH(9,10))",metabolite,-6.685666666666666,0.2909473033615078,3
MAPK14_3HLL__L12_12_13_DiHODE,MAPK14,3HLL,L12_12_13_DiHODE,"12,13-DiHODE",metabolite,-6.553666666666667,0.06900241541666,3
MAPK14_3HLL__L05_Scoparone,MAPK14,3HLL,L05_Scoparone,Scoparone,ingredients,-6.457333333333334,0.0106926766215634,3
MAPK14_3HLL__L10_8_Amino_7_oxononanoate,MAPK14,3HLL,L10_8_Amino_7_oxononanoate,8-Amino-7-oxononanoate,metabolite,-5.585,0.0334514573673557,3
PTPRC_1YGU__L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,PTPRC,1YGU,L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,"5,7-dihydroxy-2-phenyl-4H-chromen-4-one",ingredients,-8.051,0.00953939201417,3
PTPRC_1YGU__L02_Apigenin,PTPRC,1YGU,L02_Apigenin,Apigenin,ingredients,-7.817666666666667,0.0135769412362777,3
PTPRC_1YGU__L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one,PTPRC,1YGU,L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one",ingredients,-7.537333333333334,0.0265581123827224,3
PTPRC_1YGU__L01_Pelargonidin,PTPRC,1YGU,L01_Pelargonidin,Pelargonidin,ingredients,-7.525666666666666,0.0055075705472861,3
PTPRC_1YGU__L06_5_2_Dihydroxy_6_7_8_6_tetramethoxyflavone,PTPRC,1YGU,L06_5_2_Dihydroxy_6_7_8_6_tetramethoxyflavone,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",ingredients,-6.989666666666667,0.009451631252505,3
PTPRC_1YGU__L05_Scoparone,PTPRC,1YGU,L05_Scoparone,Scoparone,ingredients,-6.539000000000001,0.0147309198626564,3
PTPRC_1YGU__L07_Thyroxine,PTPRC,1YGU,L07_Thyroxine,Thyroxine,metabolite,-6.234666666666667,0.6270664504925562,3
PTPRC_1YGU__L10_8_Amino_7_oxononanoate,PTPRC,1YGU,L10_8_Amino_7_oxononanoate,8-Amino-7-oxononanoate,metabolite,-5.852333333333333,0.1306611393388765,3
PTPRC_1YGU__L08_N_Oleoyl_Alanine,PTPRC,1YGU,L08_N_Oleoyl_Alanine,N-Oleoyl Alanine,metabolite,-5.79,0.3256270873253636,3
PTPRC_1YGU__L12_12_13_DiHODE,PTPRC,1YGU,L12_12_13_DiHODE,"12,13-DiHODE",metabolite,-5.478333333333333,0.3351437502525347,3
PTPRC_1YGU__L11_PE_P_18_0_18_1_12Z_2OH_9_10,PTPRC,1YGU,L11_PE_P_18_0_18_1_12Z_2OH_9_10,"PE(P-18:0/18:1(12Z)-2OH(9,10))",metabolite,-5.088333333333334,0.4636564820352817,3
