FuncID,Genus_Plot,Model,HQQD,delta_HQQD_minus_Model
COG3385,Alloprevotella,7.93184069874707,12.284303095041,4.35246239629391
COG3385,Prevotella,12.9054980067226,9.33887013300966,-3.56662787371289
COG3385,Unclassified,73.9529174412455,71.168494948926,-2.78442249231954
COG3385,Bacteroides,2.53817150340756,4.66003790824486,2.1218664048373
COG3385,Others,1.42545255343755,1.10716242355344,-0.318290129884104
COG3385,Parabacteroides,0.0278231816485167,0.216790750610453,0.188967568961937
COG3385,Phocaeicola,1.14344753989479,1.2109436843642,0.0674961444694113
COG3385,Unassigned,0.074849074896419,0.0133970562504009,-0.0614520186460181
COG3385,Eubacterium,0,0,0
COG3385,Roseburia,0,0,0
COG3385,Clostridium,0,0,0
COG0534,Others,20.0633768946185,26.4896271441425,6.42625024952402
COG0534,Prevotella,4.50207682556598,1.8384790099018,-2.66359781566418
COG0534,Bacteroides,5.70846139742991,3.42485152522449,-2.28360987220542
COG0534,Parabacteroides,3.55651329403957,1.6193637346825,-1.93714955935707
COG0534,Unclassified,49.802318658449,48.1964957606528,-1.60582289779621
COG0534,Roseburia,0.80312745997502,2.3971275264714,1.59400006649638
COG0534,Clostridium,8.11801557841181,9.46927112153034,1.35125554311852
COG0534,Phocaeicola,2.36330021961411,1.65290379509062,-0.710396424523489
COG0534,Eubacterium,3.78997237633231,3.3945599627383,-0.395412413594005
COG0534,Ruminococcus,1.25896707363131,1.47131348618839,0.212346412557075
COG0534,Unassigned,0,0.0332320443810597,0.0332320443810597
COG0534,Lactobacillus,0.0338702219324492,0.0127748889957691,-0.0210953329366801
COG2972,Unclassified,34.7650401502087,41.8412444213767,7.07620427116794
COG2972,Clostridium,19.9996495878649,14.3251533519938,-5.67449623587111
COG2972,Lactobacillus,4.62642450247589,1.11679590813049,-3.5096285943454
COG2972,Others,22.925996517912,26.3985688844075,3.47257236649551
COG2972,Roseburia,4.79900104984549,8.0832016354989,3.28420058565341
COG2972,Prevotella,2.37784333747346,0.0311461794019934,-2.34669715807147
COG2972,Ruminococcus,4.80786811139988,3.38224012088445,-1.42562799051543
COG2972,Bacteroides,1.33474876616478,0.47314222840803,-0.861606537756748
COG2972,Parabacteroides,0.970181117283927,0.234365760312597,-0.73581535697133
COG2972,Eubacterium,3.3932468593709,4.11414150958552,0.720894650214625
COG3279,Unclassified,40.4548462399711,47.4320162069616,6.97716996699051
COG3279,Lactobacillus,5.62471251146112,1.89566313981033,-3.72904937165079
COG3279,Others,19.0646751028598,22.6582428109581,3.59356770809829
COG3279,Prevotella,4.20407024554907,0.854956374436555,-3.34911387111251
COG3279,Roseburia,1.76802742477164,4.48852369238604,2.72049626761441
COG3279,Parabacteroides,3.28099852536435,1.46460047458278,-1.81639805078157
COG3279,Clostridium,15.1829314576817,13.5022347134605,-1.68069674422117
COG3279,Bacteroides,3.69117524818335,2.67971965531327,-1.01145559287008
COG3279,Phocaeicola,2.10089033695287,1.11029936465638,-0.990590972296492
COG3279,Eubacterium,2.32732175199562,1.95299675473483,-0.374324997260788
COG3279,Ruminococcus,2.30035115520939,1.96074681269959,-0.339604342509795
COG0745,Others,14.4112644906238,25.1683964405738,10.7571319499501
COG0745,Clostridium,15.121324905226,10.1525425914732,-4.9687823137528
COG0745,Prevotella,4.4131336629698,0.636519655623435,-3.77661400734636
COG0745,Lactobacillus,3.28857769312287,1.23208784969569,-2.05648984342718
COG0745,Unclassified,50.134719209829,51.4340158456151,1.29929663578611
COG0745,Roseburia,1.06826308747723,2.29391778770656,1.22565470022933
COG0745,Bacteroides,4.35855471262077,3.23910269209875,-1.11945202052202
COG0745,Parabacteroides,1.80428591158903,1.13220674760425,-0.672079163984778
COG0745,Phocaeicola,1.32962220466432,0.986686569886222,-0.342935634778098
COG0745,Ruminococcus,1.50706708252699,1.33156520574333,-0.175501876783657
COG0745,Eubacterium,2.4304168883339,2.27181228955765,-0.15860459877625
COG0745,Unassigned,0.132770151016346,0.121146324421957,-0.011623826594389
