"Taxon","kegg_pathway_id","KEGG_pathway level 2","KEGG_pathway level 1","Taxa_Full","p_Model_vs_Control","p_HQQD_vs_Model","p_Model_vs_LVX","q_Model_vs_Control","q_HQQD_vs_Model","FDR_corrected_callback","LDA_Model_Control","LDA_HQQD_Model","LDA_avg","Trend_Model_vs_Control","Trend_HQQD_vs_Model"
"ABC transporters","ko02010","Membrane transport","Environmental Information Processing","L1__Environmental Information Processing|L2__Membrane transport|L3__ABC transporters",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0300588341185692,0.0218944309368279,TRUE,3.39399537854279,3.56130901256646,3.47765219555463,"Down","Up"
"Two-component system","ko02020","Signal transduction","Environmental Information Processing","L1__Environmental Information Processing|L2__Signal transduction|L3__Two-component system",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0300588341185692,0.0218944309368279,TRUE,3.13839251825514,3.40568314506925,3.2720378316622,"Down","Up"
"Bacterial chemotaxis","ko02030","Cell motility","Cellular Processes","L1__Cellular Processes|L2__Cell motility|L3__Bacterial chemotaxis",0.00507486809794025,0.00507486809794025,0.013065226764426,0.0300588341185692,0.0218944309368279,TRUE,2.97403248415128,3.14816281608354,3.06109765011741,"Down","Up"
"Flagellar assembly","ko02040","Cell motility","Cellular Processes","L1__Cellular Processes|L2__Cell motility|L3__Flagellar assembly",0.00823901882572464,0.00507486809794025,0.00507486809794025,0.0409293193277934,0.0218944309368279,TRUE,2.94561190439829,3.11252526988108,3.02906858713968,"Down","Up"
"D-Glutamine and D-glutamate metabolism","ko00471","Metabolism of other amino acids","Metabolism","L1__Metabolism|L2__Metabolism of other amino acids|L3__D-Glutamine and D-glutamate metabolism",0.00823901882572464,0.00823901882572464,0.00507486809794025,0.0409293193277934,0.0327392590180111,TRUE,2.0188622006798,2.08265017809107,2.05075618938543,"Up","Down"
