"Disease_State","valid_t_cells","cd4_like_cells","cd4_th17_cells","cd4_treg_cells","th17_pct_valid_t","th17_pct_cd4_like","treg_pct_valid_t","treg_pct_cd4_like"
"Convalescent",9946,4927,80,126,0.804343454655138,1.62370610919424,1.26684094108184,2.55733712198092
"Moderate",8417,5607,45,216,0.534632291790424,0.802568218298555,2.56623500059404,3.85232744783307
"Severe",3596,2715,8,74,0.222469410456062,0.294659300184162,2.05784204671858,2.7255985267035
