"signature","n_matched","matched_genes"
"Th17",8,"RORC;CCR6;KLRB1;IL23R;STAT3;RORA;BATF;MAF"
"Treg",10,"FOXP3;IL2RA;CTLA4;IKZF2;TIGIT;TNFRSF18;CCR8;ENTPD1;IL10;LRRC32"
"CoreTargets",9,"AKT1;BCL2;CASP1;MAPK14;MMP9;PPARG;PTGS2;PTPRC;SIRT1"
