md_rank,pair_id,target,pdb_id,ligand_id,ligand_name,source,mean_affinity_kcal_mol,sd_affinity_kcal_mol,representative_run_id,representative_affinity_kcal_mol,representative_rule,detected_contacts_le_4p5A
1,MAPK14_3HLL__L01_Pelargonidin,MAPK14,3HLL,L01_Pelargonidin,Pelargonidin,ingredients,-8.828,0.009,2,-8.827,run with affinity closest to 3-run mean,11
2,MAPK14_3HLL__L07_Thyroxine,MAPK14,3HLL,L07_Thyroxine,Thyroxine,metabolite,-7.414,0.003,1,-7.416,run with affinity closest to 3-run mean,11
3,PTPRC_1YGU__L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,PTPRC,1YGU,L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,"5,7-dihydroxy-2-phenyl-4H-chromen-4-one",ingredients,-8.051,0.010,3,-8.056,run with affinity closest to 3-run mean,11
4,BCL2_8HTS__L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,BCL2,8HTS,L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,"5,7-dihydroxy-2-phenyl-4H-chromen-4-one",ingredients,-7.150,0.006,3,-7.151,run with affinity closest to 3-run mean,9
