ligand_id,ligand_name,net_charge,protonation_state,topology_source,coordinate_source,charge_method,force_field,status,note
L01_Pelargonidin,Pelargonidin,1,flavylium cation consistent with docking SMILES containing [O+],04_ligand_preparation/02_minimized_sdf/L01_Pelargonidin.sdf,representative Vina docked PDBQT,AM1-BCC via ACPYPE/AmberTools,GAFF,locked,"pH-dependent anthocyanidin; use +1 for consistency with docking input unless the analysis explicitly models the neutral quinonoid form."
L07_Thyroxine,Thyroxine,-1,physiological monoanion approximation,04_ligand_preparation/02_minimized_sdf/L07_Thyroxine.sdf,representative Vina docked PDBQT,AM1-BCC via ACPYPE/AmberTools,GAFF,locked,"Ionisable amino acid and phenolic groups; -1 is the selected physiological approximation."
L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,"5,7-dihydroxy-2-phenyl-4H-chromen-4-one",0,neutral flavone form,04_ligand_preparation/02_minimized_sdf/L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one.sdf,representative Vina docked PDBQT,AM1-BCC via ACPYPE/AmberTools,GAFF,locked,"Used for both the PTPRC and BCL2 molecular-dynamics systems."
