"Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Sample","Group"
-0.165733353348684,-0.0244712761575156,0.0194820752686157,0.000908883425250136,-0.0500686566362635,0.0046412534457863,0.0335858337581838,0.0227589574857735,0.000354652232314247,-0.0228337619129322,0.00412495402276762,0.0134717066733498,-0.0164090212541943,0.00322635392352924,0.0103413293120711,"K1","Control"
-0.161533905203795,-0.0176594646459941,0.0295282077128213,0.0127989846251484,-0.0418216343579841,0.0124667167756596,0.0401213268285741,0.0156661555830114,-0.00370175687097197,-0.0268911783454339,-0.00774663891652013,-0.00316475427113564,-0.0169959472360791,-0.00863627608856941,-0.00979272959766171,"K2","Control"
-0.135434551528929,-0.042947934463012,0.140990988245642,0.0766987146488964,0.0166027044754548,-0.0382505624152607,-0.0151329765808191,0.0114632463005668,-0.00371923183238001,0.0177429087999235,-0.0146777711330369,-0.00847186753995944,-0.00608147505722967,0.00501646456016067,0.00137899925868464,"K3","Control"
-0.146556564635006,-0.0715554608764395,0.138182202010336,0.0301205253481675,0.000200188462518971,0.020171566419433,-0.0121287448506286,-0.000511340126623509,0.0151586706715551,0.00431435939309193,0.0095532072973165,0.0195083107809368,0.017379649288992,0.00509939669370052,0.00356389582234774,"K4","Control"
-0.138448844935527,-0.0566291097442135,0.145292897088414,0.0587663415067035,0.00263078630776216,-0.00466350046515666,-0.0135207658950853,-0.00074009782992229,-0.00349235708817266,0.0113438966745287,-0.00295765105691446,-0.00672373502863202,-0.00114904562754201,-0.00319373996474409,-0.0052244691453783,"K5","Control"
-0.0273163087605178,-0.398830476329741,-0.144754590894107,0.00513798343814928,0.0497249084117918,-0.00486436813123228,0.00615556722286271,0.00923499426303722,-0.00597134500163779,0.00277436881873638,0.000774064871248532,-0.000968622274308609,0.0018895374876569,0.00137427641426163,-0.000177362957130785,"K6","Control"
-0.181009541599294,0.00937143677871396,0.0164502560128084,-0.0448220852565672,-0.0317546372297227,-0.0106485787219954,-0.00634016469973313,-0.00584478094630938,-0.00656544043967076,-0.00699217908964138,-0.00458377758766132,-0.0238043944776679,0.00448757301525139,-0.0168426618890032,0.0108187987368198,"M1","Model"
-0.171347882182524,0.0166875180044051,-0.016527516415945,-0.0578411705525256,-0.0130489877464902,0.0100243071228012,-0.00177996273407805,-0.0210200488349722,-0.0121365801461597,0.0159592020472801,-0.0259714673860877,0.0405253698351146,-0.00507334149563154,-0.00773145385964385,-5.87388041380061e-05,"M2","Model"
-0.178709986107388,-0.00302538888312823,-0.0169332257887933,-0.0408337094195574,-0.0311853959313897,0.00939029662740542,-0.000722275875655025,-0.0124841429335776,0.0258767619493976,-0.00692662582429995,0.00152784031490989,-0.0106144611140346,0.0205384275859438,-0.00731554692427742,-0.00216566237448268,"M3","Model"
-0.183090895361274,0.0132129778984536,-0.0115318797303183,-0.0690672179850072,-0.0127966620909216,0.0131364593688602,0.00560706932897466,0.011002334604001,0.0104005245134338,0.0146096616837315,-0.0120068384730381,-0.0261809427824801,-0.0089212319962272,0.0123356039266386,0.00014230336152267,"M4","Model"
-0.184788381141141,0.0136632159933797,0.00817140918651477,-0.0568302941711594,-0.0328325956239305,-0.00683582773209372,-0.0113847425742548,-0.0102209586300855,-0.0157110199205343,-0.0112392646434001,0.00377084740734204,-0.00153219699719757,0.0031151086991015,0.00230841857865671,-0.00741569437506704,"M5","Model"
-0.185324981584583,0.0115744746995782,0.000926857025557204,-0.0576692867889788,-0.0345554563862328,-0.00513308786296164,-0.0115318742152502,-0.00849607943596944,-0.0126659494168787,-0.0116491165544293,0.00748155739151725,0.00449428462815819,0.00908811988907072,0.0162926585820052,-0.00032438975990404,"M6","Model"
0.38566059612086,0.0147856967710505,0.00433215242541818,0.00903925263375771,-0.00334909897322672,-0.0542740848706212,0.0546957648583547,-0.0418279120986797,0.00422961011813289,0.00614402849007589,0.0201552564117923,-0.000252138649530602,-0.0079424332478472,0.00295110093192179,0.000951047616142038,"Y1","LVX"
0.400224996123671,0.00805275266680825,-0.00156579445781172,-0.0271725159155096,-0.0581230355543506,-0.0881503100625341,0.0145221514642205,-0.00129954315610528,-0.00522776410961801,0.0174332337952622,-0.00243613527596903,0.00193375788556166,0.00740241393236097,-0.00227237002074909,-0.00133361916156241,"Y2","LVX"
0.490540783147295,0.0443013521578241,-0.00377584616404379,-0.0858708565038177,0.0211566175520738,0.0195558109561762,-0.0315495461965676,0.0238740238217759,-0.0170199573397833,0.00509043242628305,-0.0176384788542292,-0.00239555472381835,-0.000582803106236797,0.0053699676573764,0.000501797337112544,"Y3","LVX"
0.438661891156925,0.017427893192255,0.0288761860141397,0.0118755816199198,-0.0217422976909884,0.0917617495124302,0.0461749447570596,0.00835845867197098,0.0191808078866919,0.0103307513815377,0.000402224534419602,-0.00194493649869656,0.0024272897986092,0.0047414346478541,-4.11144117520449e-05,"Y4","LVX"
0.425716657350692,-0.0104939244747801,0.0164096091461863,0.0649773660092401,0.0275943197799198,0.0454453046085347,-0.00318669967892239,-0.0287706709852714,-0.0372528905521773,-0.0180885237455881,-0.00731039119133028,-0.00597732987397695,0.0101670142735202,-0.00639753927583739,0.000875537393225321,"Y5","LVX"
0.458190425328874,-0.0141665120690587,0.00202495968089711,-4.43429288814111e-05,-0.000326652888909815,-0.0210964467736901,-0.0691208071017288,0.0284458359206819,0.0356165414139922,-0.0225454618032753,0.00928237433544092,0.00761754841786704,-0.0110324289889621,-0.00534220780755081,-0.000837216478661861,"Y6","LVX"
-0.128940266239911,0.0592522629112526,-0.0182875318860754,-0.0316648869740213,0.13595360338138,0.00195928738584543,0.0169386214168141,-0.0199216989192558,0.0383786709610607,0.0119662654849766,-0.00905874511453463,0.000867169243108116,-0.00341019136678591,-0.00601892302927305,-0.000573606260360027,"Z1","HQQD"
-0.135955730455063,0.0163977302479742,-0.0909014877151048,0.0430835857852845,-0.0910425158645756,0.0353614152659568,-0.0416143628708217,-0.0369351202621919,0.0106627480029091,0.0169264117561189,0.0220635740119353,-0.000831147765582794,-0.00819477170048975,-0.000672207143399707,-0.000987594991216689,"Z2","HQQD"
