"Taxon","descrition","eggNOG_Class","Category","Taxa_Full","p_Model_vs_Control","p_HQQD_vs_Model","p_Model_vs_LVX","q_Model_vs_Control","q_HQQD_vs_Model","FDR_corrected_callback","LDA_Model_Control","LDA_HQQD_Model","LDA_avg","Trend_Model_vs_Control","Trend_HQQD_vs_Model"
"COG0846","NAD-dependent protein deacetylase which modulates the activities of several enzymes which are inactive in their acetylated form","[K]: Transcription","INFORMATION STORAGE AND PROCESSING","NOG__COG0846",0.00507486809794025,0.00507486809794025,0.00823901882572464,0.0274612115367139,0.0313145627133993,TRUE,2.20150126863607,2.01616936817549,2.10883531840578,"Down","Up"
"COG1126","ABC transporter, (ATP-binding protein)","[E]: Amino acid transport and metabolism","METABOLISM","NOG__COG1126",0.00507486809794025,0.00823901882572464,0.00507486809794025,0.0274612115367139,0.0406336540645987,TRUE,2.13382150171289,2.07653873006651,2.1051801158897,"Down","Up"
"COG3839","(ABC) transporter","[G]: Carbohydrate transport and metabolism","METABOLISM","NOG__COG3839",0.00507486809794025,0.00507486809794025,0.471169998490056,0.0274612115367139,0.0313145627133993,TRUE,2.10996531317866,2.07530499213998,2.09263515265932,"Down","Up"
"NOG73005","--","[S]: Function unknown","POORLY CHARACTERIZED","NOG__NOG73005",0.00507486809794025,0.013065226764426,0.00477182171379712,0.0274612115367139,0.050146586083754,FALSE,2.0911232383294,2.09345812755643,2.09229068294292,"Up","Down"
"COG0454","acetyltransferase","[K]: Transcription","INFORMATION STORAGE AND PROCESSING","NOG__COG0454",0.00823901882572464,0.00507486809794025,0.00507486809794025,0.0376135109574338,0.0313145627133993,TRUE,2.06019695302752,2.10807795057643,2.08413745180198,"Down","Up"
"NOG114994","--","[S]: Function unknown","POORLY CHARACTERIZED","NOG__NOG114994",0.00507486809794025,0.00507486809794025,0.00477182171379712,0.0274612115367139,0.0313145627133993,TRUE,2.00147344549245,2.15066119222232,2.07606731885738,"Up","Down"
"COG0448","Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans (By similarity)","[G]: Carbohydrate transport and metabolism","METABOLISM","NOG__COG0448",0.00507486809794025,0.00507486809794025,0.00823901882572464,0.0274612115367139,0.0313145627133993,TRUE,2.06823527298512,2.07378817965399,2.07101172631956,"Down","Up"
"COG0776","This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control (By similarity)","[L]: Replication, recombination and repair","INFORMATION STORAGE AND PROCESSING","NOG__COG0776",0.00507486809794025,0.00823901882572464,0.00507486809794025,0.0274612115367139,0.0406336540645987,TRUE,2.12512297116605,2.01150519556531,2.06831408336568,"Up","Down"
"COG3437","Response Regulator","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","NOG__COG3437",0.00507486809794025,0.00507486809794025,0.0453275620779722,0.0274612115367139,0.0313145627133993,TRUE,2.00417581651368,2.12453436237787,2.06435508944577,"Down","Up"
"COG0655","Nadph-dependent fmn reductase","[R]: General function prediction only","POORLY CHARACTERIZED","NOG__COG0655",0.00507486809794025,0.00507486809794025,0.00507486809794025,0.0274612115367139,0.0313145627133993,TRUE,2.08536079986292,2.02584315248622,2.05560197617457,"Down","Up"
"COG0596","Alpha beta hydrolase","[R]: General function prediction only","POORLY CHARACTERIZED","NOG__COG0596",0.00507486809794025,0.00507486809794025,0.688920555804461,0.0274612115367139,0.0313145627133993,TRUE,2.0112523399987,2.09910078541097,2.05517656270483,"Down","Up"
"NOG54951","conjugative transposon protein TraE","[S]: Function unknown","POORLY CHARACTERIZED","NOG__NOG54951",0.00507486809794025,0.00507486809794025,0.00499812476508246,0.0274612115367139,0.0313145627133993,TRUE,2.04105106055167,2.05217734015389,2.04661420035278,"Up","Down"
