#ID,name,KEGG_annotation,KEGG_pathway_annotation
neg_14575,"5,10-Methenyltetrahydrofolate",C00445,One carbon pool by folate(ko00670);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200);;Biosynthesis of cofactors(ko01240)
neg_14611,RU-0211,C13707,--
neg_14627,2-Oxohept-3-enedioate,C03063,Tyrosine metabolism(ko00350);;Metabolic pathways(ko01100)
neg_14634,"2,3-Dimethyl-5-phytylquinol",C15883,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_14668,"5,7,24(28)-Ergostatrienol",C15780,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
neg_14691,3-Butyn-1-al,C06145,Butanoate metabolism(ko00650)
neg_14694,"3alpha,7alpha-Dihydroxy-5beta-cholestane",C05452,Primary bile acid biosynthesis(ko00120);;Metabolic pathways(ko01100)
neg_14703,"1-Octadecanoyl-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycero-3-phosphoethanolamine",C21481,Ferroptosis(ko04216)
neg_1471,UDP,C00015,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;Biosynthesis of cofactors(ko01240);;Neuroactive ligand-receptor interaction(ko04080)
neg_14725,20alpha-Hydroxy-4-pregnen-3-one,C04042,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
neg_14761,Oleoylethanolamide,C20792,cAMP signaling pathway(ko04024)
neg_14788,"6-Geranylgeranyl-2-methylbenzene-1,4-diol",C20737,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100)
neg_14816,Stearidonic acid,C16300,alpha-Linolenic acid metabolism(ko00592)
neg_14830,delta-Tocopherol,C14151,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_14831,L-Metanephrine,C05588,Tyrosine metabolism(ko00350);;Metabolic pathways(ko01100)
neg_14832,6-Deoxocathasterone,C15798,Metabolic pathways(ko01100)
neg_14836,Dyphylline,C07819,--
neg_14840,Hydroxyspheroidene,C15902,Metabolic pathways(ko01100)
neg_14849,Prostaglandin J2,C05957,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Serotonergic synapse(ko04726)
neg_14868,Icosanoic acid,C06425,Biosynthesis of unsaturated fatty acids(ko01040)
neg_14886,Urocortisol,C05472,Steroid hormone biosynthesis(ko00140)
neg_1491,2-Aminoethylphosphonate,C03557,Phosphonate and phosphinate metabolism(ko00440);;Metabolic pathways(ko01100);;ABC transporters(ko02010)
neg_1492,5-Aminopentanal,C12455,Lysine degradation(ko00310);;Metabolic pathways(ko01100)
neg_1493,3-Sulfinoalanine,C00606,Cysteine and methionine metabolism(ko00270);;Taurine and hypotaurine metabolism(ko00430);;Metabolic pathways(ko01100)
neg_14934,Gentisate aldehyde,C05585,Tyrosine metabolism(ko00350);;Metabolic pathways(ko01100)
neg_14965,Pregnanediol,C05484,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
neg_14979,aclacinomycin S,C18635,--
neg_14996,"17alpha,20alpha-Dihydroxycholesterol",C05499,Steroid hormone biosynthesis(ko00140)
neg_150,"Bromobenzene-2,3-oxide",C14840,Metabolism of xenobiotics by cytochrome P450(ko00980)
neg_15023,Testololactone,C04676,Steroid hormone biosynthesis(ko00140)
neg_15046,Hydroxytamoxifen,C05011,Drug metabolism - cytochrome P450(ko00982)
neg_15062,Epothilone B,C12154,--
neg_15110,Ecdysone,C00477,Insect hormone biosynthesis(ko00981);;Apoptosis - fly(ko04214)
neg_15126,Rishitin,C09715,--
neg_15131,6-Ethylchenodeoxycholic acid,C15636,--
neg_15143,3-Hexaprenyl-4-hydroxy-5-methoxybenzoate,C05313,--
neg_15144,"3,4-Dihydrospheroidene",C15895,Metabolic pathways(ko01100)
neg_1519,Phosphoglycolic acid,C00988,Glyoxylate and dicarboxylate metabolism(ko00630);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200)
neg_15191,L-Urobilinogen,C05789,Porphyrin metabolism(ko00860)
neg_15202,Bufotalin,C16923,--
neg_1521,Isomaltose,C00252,Starch and sucrose metabolism(ko00500);;Metabolic pathways(ko01100)
neg_15242,Tylosin,C01457,Metabolic pathways(ko01100)
neg_15258,(S)-8-Oxocitronellyl enol,C22225,Metabolic pathways(ko01100)
neg_15269,Adrenic acid,C16527,Biosynthesis of unsaturated fatty acids(ko01040);;Ferroptosis(ko04216)
neg_15303,3-Dehydro-2-deoxyecdysone,C16497,Insect hormone biosynthesis(ko00981)
neg_15317,Neamine,C01441,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_15318,Dihomo-gamma-linolenic acid,C03242,Linoleic acid metabolism(ko00591);;Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100)
neg_15357,"7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one",C05453,Primary bile acid biosynthesis(ko00120);;Metabolic pathways(ko01100)
neg_15373,2-Octaprenyl-6-hydroxyphenol,C05811,--
neg_15384,Allotetrahydrodeoxycorticosterone,C13713,Steroid hormone biosynthesis(ko00140)
neg_15416,"(3S)-3-Hydroxy-N6,N6,N6-trimethyl-L-lysine",C01259,Lysine degradation(ko00310);;Metabolic pathways(ko01100)
neg_1543,Raffinose,C00492,Galactose metabolism(ko00052);;Metabolic pathways(ko01100);;ABC transporters(ko02010)
neg_15438,Lactic acid,C01432,--
neg_15464,2-O-(alpha-D-Mannosyl)-D-glycerate,C11544,Fructose and mannose metabolism(ko00051);;Metabolic pathways(ko01100)
neg_15487,Mupirocin,C11758,--
neg_15490,Estriol,C05141,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
neg_15509,Gibberellin A12,C11857,Metabolic pathways(ko01100)
neg_15515,Levomethadyl acetate,C08012,Drug metabolism - cytochrome P450(ko00982)
neg_15526,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid",C06429,Biosynthesis of unsaturated fatty acids(ko01040)
neg_15542,Dehydroeburicoic acid,C16950,--
neg_1557,Maltotetraose,C02052,--
neg_1576,Aniline,C00292,--
neg_1583,sn-Glycerol 3-phosphate,C00093,Glycerolipid metabolism(ko00561);;Glycerophospholipid metabolism(ko00564);;Metabolic pathways(ko01100);;ABC transporters(ko02010);;Choline metabolism in cancer(ko05231)
neg_1593,Pseudouridine,C02067,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100)
neg_161,Phosphonoacetate,C05682,Phosphonate and phosphinate metabolism(ko00440);;Metabolic pathways(ko01100)
neg_1651,N-Acetylornithine,C00437,Arginine biosynthesis(ko00220);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230)
neg_168,N-Acetyl-alpha-D-glucosamine 1-phosphate,C04501,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_1708,2-C-Methyl-D-erythritol 4-phosphate,C11434,Terpenoid backbone biosynthesis(ko00900);;Metabolic pathways(ko01100)
neg_175,5-Fluorodeoxyuridine diphosphate,C21750,Drug metabolism - other enzymes(ko00983)
neg_1797,Sulfate,C00059,Purine metabolism(ko00230);;Monobactam biosynthesis(ko00261);;Cysteine and methionine metabolism(ko00270);;Sulfur metabolism(ko00920);;Metabolic pathways(ko01100);;ABC transporters(ko02010)
neg_1806,"2-Hydroxy-2-hydropyrone-4,6-dicarboxylate",C05375,Metabolic pathways(ko01100)
neg_1831,N6-Acetyl-L-lysine,C02727,Lysine degradation(ko00310);;Metabolic pathways(ko01100)
neg_1834,2-epi-5-epi-Valiolone,C17691,Metabolic pathways(ko01100)
neg_1841,Shikimate 3-phosphate,C03175,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)"
neg_1844,N-(5-Phospho-D-ribosyl)anthranilate,C04302,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)"
neg_1904,Aminoimidazole ribotide,C03373,Purine metabolism(ko00230);;Thiamine metabolism(ko00730);;Porphyrin metabolism(ko00860);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_1906,N-Acetylmuramic acid alpha-1-phosphate,C21027,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_1912,5-Fluorouridine diphosphate,C21748,Drug metabolism - other enzymes(ko00983)
neg_1913,2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate,C11038,Pyrimidine metabolism(ko00240)
neg_1931,Glutathione disulfide,C00127,Glutathione metabolism(ko00480);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Ferroptosis(ko04216);;Thyroid hormone synthesis(ko04918);;Chemical carcinogenesis - reactive oxygen species(ko05208);;Diabetic cardiomyopathy(ko05415)
neg_1968,Pseudouridine 5'-phosphate,C01168,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100)
neg_1972,dUMP,C00365,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;Antifolate resistance(ko01523)
neg_1986,dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene,C21352,Polyketide sugar unit biosynthesis(ko00523)
neg_1988,2-(alpha-Hydroxypropyl)thiamine diphosphate,C21017,Propanoate metabolism(ko00640);;Metabolic pathways(ko01100)
neg_1992,dTDP-L-epivancosamine,C12321,Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_1995,UDP-L-Ara4FN,C16154,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100)
neg_1996,UDP-kanosamine,C12211,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524);;Biosynthesis of nucleotide sugars(ko01250)"
neg_1997,"UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose",C04613,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_2026,Sulfoacetaldehyde,C00593,Taurine and hypotaurine metabolism(ko00430);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_2045,6-Thioxanthine 5'-monophosphate,C16618,Drug metabolism - other enzymes(ko00983)
neg_2048,dUDP,C01346,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_2050,dIDP,C01344,Purine metabolism(ko00230);;Nucleotide metabolism(ko01232)
neg_2061,UDP-L-Ara4N,C16153,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_2095,Itaconyl-CoA,C00531,C5-Branched dibasic acid metabolism(ko00660);;Metabolic pathways(ko01100)
neg_2100,Phosphonoacetaldehyde,C03167,Phosphonate and phosphinate metabolism(ko00440);;Metabolic pathways(ko01100)
neg_2106,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",C11453,Terpenoid backbone biosynthesis(ko00900);;Metabolic pathways(ko01100)
neg_2122,L-Ascorbic acid,C00072,Ascorbate and aldarate metabolism(ko00053);;Glutathione metabolism(ko00480);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;HIF-1 signaling pathway(ko04066);;Vitamin digestion and absorption(ko04977)
neg_2169,2-Furoate,C01546,Metabolic pathways(ko01100)
neg_2173,L-Methionine,C00073,Cysteine and methionine metabolism(ko00270);;D-Amino acid metabolism(ko00470);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240);;Antifolate resistance(ko01523);;Protein digestion and absorption(ko04974);;Mineral absorption(ko04978);;Central carbon metabolism in cancer(ko05230)
neg_2174,Dehydroascorbate,C05422,Ascorbate and aldarate metabolism(ko00053);;Glutathione metabolism(ko00480);;Metabolic pathways(ko01100)
neg_2176,L-beta-Ethynylserine,C22141,Metabolic pathways(ko01100)
neg_2204,Fluazifop,C18527,--
neg_2205,"2',3'-Cyclic CMP",C02354,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100)
neg_2209,dCDP,C00705,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_2210,N-Acetylneuraminate 9-phosphate,C06241,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_2223,Urocanate,C00785,Histidine metabolism(ko00340);;Metabolic pathways(ko01100)
neg_2226,4-Aminoazobenzene,C19187,--
neg_2232,Dhurrin,C05143,Metabolic pathways(ko01100)
neg_2251,Itaconic acid,C00490,C5-Branched dibasic acid metabolism(ko00660);;Metabolic pathways(ko01100)
neg_2260,Paramethadione,C07411,--
neg_2267,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate",C20258,Monobactam biosynthesis(ko00261);;Lysine biosynthesis(ko00300);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)
neg_2271,3-Dehydroquinic acid,C00944,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)"
neg_2272,Quinate,C00296,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100)"
neg_2283,L-Arogenate,C00826,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)"
neg_2295,2-Methylbutyrate,C18319,Protein digestion and absorption(ko04974)
neg_2296,Xanthurenic acid,C02470,Tryptophan metabolism(ko00380)
neg_2299,Inosine,C00294,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;ABC transporters(ko02010)
neg_23,Trichloroethanol glucuronide,C14869,Metabolism of xenobiotics by cytochrome P450(ko00980)
neg_2303,Sulfamethopyrazine,C12616,--
neg_2309,Thiamine aldehyde,C05856,Thiamine metabolism(ko00730);;Metabolic pathways(ko01100)
neg_2321,Protoviolaceinic acid,C21134,Metabolic pathways(ko01100)
neg_2325,Violaceinic acid,C21135,Metabolic pathways(ko01100)
neg_2326,(R)-S-Lactoylglutathione,C03451,Pyruvate metabolism(ko00620);;Metabolic pathways(ko01100)
neg_2343,Roseoflavin,C21647,Metabolic pathways(ko01100)
neg_2345,"N6-(1,2-Dicarboxyethyl)-AMP",C03794,"Purine metabolism(ko00230);;Alanine, aspartate and glutamate metabolism(ko00250);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;Biosynthesis of cofactors(ko01240)"
neg_2356,"alpha-1,5-L-Arabinotetraose",C20572,ABC transporters(ko02010)
neg_2380,Coenzyme F420-1,C19152,Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_2381,Stachyose,C01613,Galactose metabolism(ko00052);;Metabolic pathways(ko01100)
neg_2389,1-(5-Phosphoribosyl)imidazole-4-acetate,C04437,Histidine metabolism(ko00340)
neg_2393,Homotrypanothione,C16567,Glutathione metabolism(ko00480)
neg_2400,"5,6,7,8-Tetrahydromethanopterin",C01217,Folate biosynthesis(ko00790);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200);;Biosynthesis of cofactors(ko01240)
neg_2445,dTDP-4-oxo-5-C-methyl-L-rhamnose,C11460,Polyketide sugar unit biosynthesis(ko00523);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_2449,GDP-L-fucose,C00325,Fructose and mannose metabolism(ko00051);;Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_2469,N-Phospho-D-lombricine,C02855,D-Amino acid metabolism(ko00470);;Metabolic pathways(ko01100)
neg_2474,dGTP,C00286,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_2479,L-Sorbose,C00247,Fructose and mannose metabolism(ko00051);;Metabolic pathways(ko01100)
neg_2512,"7,8-Dihydro-7,8-dihydroxykynurenate",C01249,Tryptophan metabolism(ko00380)
neg_2524,L-Tyrosine,C00082,"Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Monobactam biosynthesis(ko00261);;Tyrosine metabolism(ko00350);;Phenylalanine metabolism(ko00360);;Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Thiamine metabolism(ko00730);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240);;Dopaminergic synapse(ko04728);;Melanogenesis(ko04916);;Prolactin signaling pathway(ko04917);;Protein digestion and absorption(ko04974);;Parkinson disease(ko05012);;Cocaine addiction(ko05030);;Amphetamine addiction(ko05031);;Alcoholism(ko05034);;Central carbon metabolism in cancer(ko05230)"
neg_2528,Pretyrosine,C00826,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)"
neg_253,Dimethylarsinous acid,C20300,Chemical carcinogenesis - reactive oxygen species(ko05208)
neg_2534,S-Adenosyl-L-homocysteine,C00021,Cysteine and methionine metabolism(ko00270);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240);;Chemical carcinogenesis - reactive oxygen species(ko05208)
neg_2546,Succinic anhydride,C19524,--
neg_2547,Methylmalonic acid,C02170,"Pyrimidine metabolism(ko00240);;Valine, leucine and isoleucine degradation(ko00280);;Propanoate metabolism(ko00640);;Metabolic pathways(ko01100)"
neg_2554,2-(3'-Methylthio)propylmalic acid,C17214,2-Oxocarboxylic acid metabolism(ko01210)
neg_2596,Phosphatidylserine,C02737,"Glycine, serine and threonine metabolism(ko00260);;Glycerophospholipid metabolism(ko00564);;Metabolic pathways(ko01100);;Leishmaniasis(ko05140);;Amoebiasis(ko05146);;Systemic lupus erythematosus(ko05322)"
neg_2608,"5-(2'-Formylethyl)-4,6-dihydroxypicolinate",C05654,Tryptophan metabolism(ko00380)
neg_2620,N2-Succinyl-L-arginine,C03296,Arginine and proline metabolism(ko00330);;Metabolic pathways(ko01100)
neg_2627,4-Pyridoxic acid,C00847,Vitamin B6 metabolism(ko00750);;Metabolic pathways(ko01100)
neg_2635,Thioguanine,C07648,Drug metabolism - other enzymes(ko00983)
neg_2637,Xanthine,C00385,Purine metabolism(ko00230);;Caffeine metabolism(ko00232);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_2639,4-Hydroxy-1-(3-pyridinyl)-1-butanone,C19565,Metabolism of xenobiotics by cytochrome P450(ko00980);;Chemical carcinogenesis - DNA adducts(ko05204)
neg_2661,Glutaconic acid,C02214,--
neg_2700,3-Butyn-1-ol,C06146,Butanoate metabolism(ko00650)
neg_2709,Pyridoxine phosphate,C00627,Vitamin B6 metabolism(ko00750);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_2710,"L-2,3-Diaminopropanoate",C03401,Metabolic pathways(ko01100)
neg_2724,Estradiol-17beta 3-sulfate,C08357,Steroid hormone biosynthesis(ko00140);;Bile secretion(ko04976)
neg_2725,Indolylmethyl-desulfoglucosinolate,C16517,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210)
neg_2727,1'-Hydroxyversicolorone,C20503,Metabolic pathways(ko01100)
neg_2728,"7,8-Didemethyl-8-hydroxy-5-deazariboflavin",C19154,Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_2729,4'-DEMETHYLEPIPODOPHYLLOTOXIN,C21185,--
neg_2730,Versiconal hemiacetal acetate,C20505,Metabolic pathways(ko01100)
neg_2731,"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",C04479,Phenylalanine metabolism(ko00360);;Metabolic pathways(ko01100)
neg_2735,Glucolesquerellin,C17250,2-Oxocarboxylic acid metabolism(ko01210)
neg_2740,Validamycin A,C12112,Metabolic pathways(ko01100)
neg_2745,Rutin,C05625,Metabolic pathways(ko01100)
neg_2753,5-Hydroxy-L-tryptophan,C00643,Tryptophan metabolism(ko00380);;Metabolic pathways(ko01100);;Axon regeneration(ko04361);;Serotonergic synapse(ko04726)
neg_2758,gamma-L-Glutamyl-L-cysteine,C00669,Glutathione metabolism(ko00480);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Ferroptosis(ko04216)
neg_2759,"(R)-2,3-Dihydroxy-3-methylpentanoate",C06007,"Valine, leucine and isoleucine biosynthesis(ko00290);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230)"
neg_279,Sucrose 6'-phosphate,C02591,Starch and sucrose metabolism(ko00500);;Metabolic pathways(ko01100)
neg_2807,"2-Hydroxy-1,4-benzoquinone",C07103,Metabolic pathways(ko01100)
neg_2812,5-(3-Pyridyl)-2-hydroxytetrahydrofuran,C19578,Metabolism of xenobiotics by cytochrome P450(ko00980);;Chemical carcinogenesis - DNA adducts(ko05204)
neg_2815,"(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate",C06321,Metabolic pathways(ko01100)
neg_2816,Butanal,C01412,Butanoate metabolism(ko00650);;Metabolic pathways(ko01100)
neg_2822,Fagomine,C10144,--
neg_2829,(R)-Mevalonate,C00418,Terpenoid backbone biosynthesis(ko00900);;Metabolic pathways(ko01100);;Ferroptosis(ko04216)
neg_2833,6-Aminopenicillanate,C02954,Penicillin and cephalosporin biosynthesis(ko00311)
neg_2836,2-Hydroxybutyric acid,C05984,Propanoate metabolism(ko00640)
neg_2860,"7,8-Dihydroxykynurenate",C01111,Tryptophan metabolism(ko00380)
neg_2867,alpha-Ribazole,C05775,Porphyrin metabolism(ko00860);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_2907,15(S)-HPETE,C05966,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Serotonergic synapse(ko04726);;Inflammatory mediator regulation of TRP channels(ko04750);;Ovarian steroidogenesis(ko04913)
neg_3002,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane",C05454,Primary bile acid biosynthesis(ko00120);;Metabolic pathways(ko01100)
neg_3062,Kaur-16-en-18-oic acid,C11874,Metabolic pathways(ko01100)
neg_3066,Aldosterone,C01780,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Aldosterone synthesis and secretion(ko04925);;Aldosterone-regulated sodium reabsorption(ko04960)
neg_314,UDP-L-rhamnose,C02199,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;Biosynthesis of nucleotide sugars(ko01250)
neg_315,UDP-3-ketoglucose,C12210,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524);;Biosynthesis of nucleotide sugars(ko01250)"
neg_3155,Bis(beta-D-glucosyl) crocetin,C19868,Metabolic pathways(ko01100)
neg_3219,Argentine,C10753,--
neg_3239,Guanethidine,C07036,--
neg_3262,cis-trans-Nepetalactol,C09804,Metabolic pathways(ko01100)
neg_3312,D-Glucose,C00031,"Glycolysis / Gluconeogenesis(ko00010);;Pentose phosphate pathway(ko00030);;Galactose metabolism(ko00052);;Starch and sucrose metabolism(ko00500);;Amino sugar and nucleotide sugar metabolism(ko00520);;Neomycin, kanamycin and gentamicin biosynthesis(ko00524);;Metabolic pathways(ko01100);;ABC transporters(ko02010);;HIF-1 signaling pathway(ko04066);;FoxO signaling pathway(ko04068);;AMPK signaling pathway(ko04152);;Taste transduction(ko04742);;Insulin signaling pathway(ko04910);;Insulin secretion(ko04911);;Prolactin signaling pathway(ko04917);;Glucagon signaling pathway(ko04922);;Type II diabetes mellitus(ko04930);;Insulin resistance(ko04931);;Non-alcoholic fatty liver disease(ko04932);;AGE-RAGE signaling pathway in diabetic complications(ko04933);;Carbohydrate digestion and absorption(ko04973);;Bile secretion(ko04976);;Mineral absorption(ko04978);;Central carbon metabolism in cancer(ko05230);;Diabetic cardiomyopathy(ko05415)"
neg_3322,Gibberellin A20,C02035,Metabolic pathways(ko01100)
neg_3347,Secoisolariciresinol,C18167,Metabolic pathways(ko01100)
neg_3348,21-Deoxycortisol,C05497,Steroid hormone biosynthesis(ko00140)
neg_3539,"11,14,15-THETA",C14814,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100)
neg_3540,Cycloeucalenone,C22121,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
neg_3558,Polypropylene,C19505,--
neg_3566,6-Hydroxytryprostatin B,C20513,Metabolic pathways(ko01100)
neg_358,1-(5-Phospho-D-ribosyl)-ATP,C02739,Histidine metabolism(ko00340);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)
neg_3666,(+)-Pinoresinol,C05366,Metabolic pathways(ko01100)
neg_3684,Hydroxyspheroidenone,C15905,Metabolic pathways(ko01100)
neg_3702,3-Methyl-2-oxobutanoic acid,C00141,"Valine, leucine and isoleucine degradation(ko00280);;Valine, leucine and isoleucine biosynthesis(ko00290);;Pantothenate and CoA biosynthesis(ko00770);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240)"
neg_3739,"2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate",C20246,Thiamine metabolism(ko00730);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_3740,"D-Glucono-1,5-lactone 6-phosphate",C01236,Pentose phosphate pathway(ko00030);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200)
neg_3831,2-Oxo-3-hydroxy-4-phosphobutanoate,C06054,Vitamin B6 metabolism(ko00750);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_3862,Cobinamide,C05774,Porphyrin metabolism(ko00860)
neg_3867,Nystatin,C06572,--
neg_3869,Campestanol,C15787,Metabolic pathways(ko01100)
neg_3891,Matairesinol,C10682,Metabolic pathways(ko01100)
neg_4111,Methylphosphonate,C20396,Phosphonate and phosphinate metabolism(ko00440);;Metabolic pathways(ko01100)
neg_4195,Sirolimus,C07909,Longevity regulating pathway(ko04211);;Longevity regulating pathway - worm(ko04212);;Cellular senescence(ko04218)
neg_4402,Syringic acid,C10833,--
neg_4405,Nicotinamide,C00153,Nicotinate and nicotinamide metabolism(ko00760);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Longevity regulating pathway - worm(ko04212);;Vitamin digestion and absorption(ko04977)
neg_4420,2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate,C16519,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_448,dTDP,C00363,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_4559,"(1R,2S)-Naphthalene 1,2-oxide",C14786,Metabolism of xenobiotics by cytochrome P450(ko00980)
neg_457,dITP,C01345,Purine metabolism(ko00230);;Nucleotide metabolism(ko01232)
neg_4577,Hymenoxon,C09482,--
neg_4581,Secologanin,C01852,Metabolic pathways(ko01100)
