#ID,name,HMDB_ID,CAS,kingdom(HMDB),super_class(HMDB),class(HMDB),sub_class(HMDB)
pos_10256,Angiotensin II,HMDB0001035,11128-99-7,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10258,Glutethimide,HMDB0015505,77-21-4,Organic compounds,Organoheterocyclic compounds,Piperidines,Phenylpiperidines
pos_10260,Nepetaside,HMDB0038149,114076-56-1,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides
pos_10278,LysoPC(16:1(9Z)/0:0),HMDB0010383,76790-27-7,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
pos_10284,2-Phenylethanol,HMDB0033944,1960/12/8,Organic compounds,Benzenoids,Benzene and substituted derivatives,--
pos_10289,"(2S,4R)-p-Mentha-1(7),8-dien-2-ol",HMDB0037010,2102-62-7,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
pos_10293,1-Acetyl-4-isopropenylcyclopentene,HMDB0036070,2704-76-9,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids
pos_10301,"N'-(1,6-Dihydro-6-oxo-2-pyridinyl)-N,N-dipropylmethanimidamide",HMDB0249850,--,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Hydropyridines
pos_10304,Punicic acid,HMDB0030963,544-72-9,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives
pos_10307,Geranyl hexanoate,HMDB0029351,10032-02-7,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohol esters
pos_10308,Tanacetol B,HMDB0035075,86787-28-2,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids
pos_10321,Sodium deoxycholate,HMDB0000626,83-44-3,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
pos_10328,Medicagenic acid,HMDB0034551,599-07-5,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
pos_10338,"5,5-Dimethyl-2(5H)-furanone",HMDB0040260,20019-64-1,Organic compounds,Organoheterocyclic compounds,Dihydrofurans,Furanones
pos_10341,3-Methyl-1-pentyn-3-ol,HMDB0245924,--,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10344,"PG(18:0/20:4(7E,9E,11Z,13E)-3OH(5S,6R,15S))",HMDB0268803,--,--,--,--,--
pos_10345,"PC(18:1(12Z)-2OH(9,10)/DiMe(11,5))",HMDB0289065,--,--,--,--,--
pos_10346,PG(TXB2/i-19:0),HMDB0271815,--,--,--,--,--
pos_10348,3-Methyl-2-cyclohexen-1-one,HMDB0031541,1193-18-6,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10360,PC-M6,HMDB0038568,133613-76-0,Organic compounds,Organoheterocyclic compounds,Naphthopyrans,--
pos_10368,3-Phenyl-2-propenyl,HMDB0250264,--,Organic compounds,Benzenoids,Benzene and substituted derivatives,--
pos_10371,L-Asparagine,HMDB0000168,70-47-3,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10376,"8-Deoxy-11,13-dihydroxygrosheimin",HMDB0041144,83551-03-5,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones
