"Analysis","Variable","Endpoint_Type","Recommended_Test","Significant_pairwise_within_endpoint","group1","group2","comparison","estimate","statistic","p_raw","p_adjusted_within_endpoint","p_adjust_method"
"01_cytokine","Lung IL17A","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",-37.9461395999999,-0.18965142198053,0.854305848202708,1,"Bonferroni"
"01_cytokine","Lung IL17A","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-H","Model","HQQD-H - Model",-87.5185611333334,-0.453462509744008,0.660951394626207,1,"Bonferroni"
"01_cytokine","Ileum IL17A","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"Control","Model","Control - Model",-1022.37592475,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL17A","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"LVX","Model","LVX - Model",-834.1919384,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL17A","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-957.104861,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL17A","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-M","Model","HQQD-M - Model",-868.601336,12,0.00053200550513925,0.00053200550513925,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Ileum IL17A","continuous_cytokine","Kruskal-Wallis + pairwise median test vs Model",TRUE,"HQQD-H","Model","HQQD-H - Model",-1041.3956498,5.33333333333333,0.0209213353377941,0.0209213353377941,"Pairwise median test; unadjusted thesis-style"
"01_cytokine","Serum IL10","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",TRUE,"Control","Model","Control - Model",0.213222913333333,3.57089334525747,0.00508817682370918,0.0254408841185459,"Bonferroni"
"01_cytokine","Serum IL10","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"LVX","Model","LVX - Model",-0.133416106666667,-2.35487436226007,0.0403041498568786,0.201520749284393,"Bonferroni"
"01_cytokine","Serum IL10","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",TRUE,"HQQD-L","Model","HQQD-L - Model",-0.16632623,-3.83087368710481,0.00331412546412603,0.0165706273206301,"Bonferroni"
"01_cytokine","Serum IL10","continuous_cytokine","One-way ANOVA + Bonferroni vs Model",FALSE,"HQQD-M","Model","HQQD-M - Model",-0.0699541066666667,-1.63229765168532,0.133667211936749,0.668336059683745,"Bonferroni"
