"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043325","phosphatidylinositol-3,4-bisphosphate binding","1/9","29/18662",0.0344827586206897,71.5019157088123,8.34589450928327,0.0139019827546416,0.0352121189623988,0.0120462512239785,"AKT1",1
"GO:0043028","cysteine-type endopeptidase regulator activity involved in apoptotic process","1/9","30/18662",0.0333333333333333,69.1185185185185,8.20182407666647,0.0143782819096462,0.0352121189623988,0.0120462512239785,"CASP1",1
"GO:0051721","protein phosphatase 2A binding","1/9","30/18662",0.0333333333333333,69.1185185185185,8.20182407666647,0.0143782819096462,0.0352121189623988,0.0120462512239785,"BCL2",1
"GO:0043425","bHLH transcription factor binding","1/9","32/18662",0.03125,64.7986111111111,7.93403573178518,0.015330266772464,0.0354494586419162,0.0121274463774977,"SIRT1",1
"GO:0071889","14-3-3 protein binding","1/9","32/18662",0.03125,64.7986111111111,7.93403573178518,0.015330266772464,0.0354494586419162,0.0121274463774977,"AKT1",1
"GO:0004175","endopeptidase activity","2/9","406/18662",0.00492610837438424,10.2145593869732,4.12333995806487,0.0153614320781637,0.0354494586419162,0.0121274463774977,"CASP1/MMP9",2
"GO:0004674","protein serine/threonine kinase activity","2/9","433/18662",0.0046189376443418,9.57762381318963,3.96683272469343,0.0173571961341968,0.0386326997925006,0.0132164499290134,"AKT1/MAPK14",2
"GO:0019213","deacetylase activity","1/9","37/18662",0.027027027027027,56.042042042042,7.36142047987868,0.0177066540715628,0.0386326997925006,0.0132164499290134,"SIRT1",1
"GO:0043394","proteoglycan binding","1/9","37/18662",0.027027027027027,56.042042042042,7.36142047987868,0.0177066540715628,0.0386326997925006,0.0132164499290134,"PTPRC",1
"GO:0042805","actinin binding","1/9","38/18662",0.0263157894736842,54.5672514619883,7.26054206881685,0.0181813193125485,0.0389599699554611,0.0133284107742367,"PPARG",1
"GO:0005547","phosphatidylinositol-3,4,5-trisphosphate binding","1/9","41/18662",0.024390243902439,50.5745257452575,6.98012761232081,0.0196040919780157,0.0412717725852962,0.0141192906212856,"AKT1",1
"GO:0140416","transcription regulator inhibitor activity","1/9","42/18662",0.0238095238095238,49.3703703703704,6.89332231778615,0.0200779421027237,0.0415405698677043,0.0142112475863199,"SIRT1",1
"GO:0005504","fatty acid binding","1/9","47/18662",0.0212765957446809,44.1182033096927,6.501183593495,0.022444140442805,0.045649099205705,0.0156167970966886,"PPARG",1
"GO:0004601","peroxidase activity","1/9","50/18662",0.02,41.4711111111111,6.29430776330658,0.0238614203733334,0.0477228407466668,0.0163262349922807,"PTGS2",1
"GO:0016248","channel inhibitor activity","1/9","51/18662",0.0196078431372549,40.6579520697168,6.22938084470459,0.0243334409630952,0.0478690641896955,0.0163762588017379,"BCL2",1
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","1/9","52/18662",0.0192307692307692,39.8760683760684,6.16630764720683,0.0248052586532421,0.0480101780385331,0.0164245345921298,"PTGS2",1
"GO:0051287","NAD binding","1/9","53/18662",0.0188679245283019,39.1236897274633,6.10500057593408,0.0252768735200946,0.0481464257525611,0.0164711456521919,"SIRT1",1
"GO:0030291","protein serine/threonine kinase inhibitor activity","1/9","54/18662",0.0185185185185185,38.3991769547325,6.04537773283492,0.025748285639946,0.0482780355748988,0.016516170065097,"AKT1",1
"GO:0141110","transporter inhibitor activity","1/9","55/18662",0.0181818181818182,37.7010101010101,5.98736244875466,0.0262194950890667,0.0484052217028924,0.0165596811088843,"BCL2",1
