"SYMBOL","ENTREZID","ENSEMBL"
"AKT1","207","ENSG00000142208"
"BCL2","596","ENSG00000171791"
"CASP1","834","ENSG00000137752"
"MAPK14","1432","ENSG00000112062"
"MMP9","4318","ENSG00000100985"
"PPARG","5468","ENSG00000132170"
"PTGS2","5743","ENSG00000073756"
"PTPRC","5788","ENSG00000081237"
"PTPRC","5788","ENSG00000262418"
"SIRT1","23411","ENSG00000096717"
