"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0051149","positive regulation of muscle cell differentiation","3/9","85/18860",0.0352941176470588,73.9607843137255,14.7306656500055,7.27764816006919e-06,0.000236523565202249,5.50036987255755e-05,"BCL2/MAPK14/SIRT1",3
"BP","GO:0043542","endothelial cell migration","4/9","302/18860",0.0132450331125828,27.7557027225901,10.2415959118456,7.6226465503933e-06,0.00024287844400763,5.64815296510051e-05,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:0150076","neuroinflammatory response","3/9","91/18860",0.032967032967033,69.0842490842491,14.2252585677871,8.93851468557819e-06,0.000273192558414627,6.35310953657334e-05,"MMP9/PTGS2/PTPRC",3
"BP","GO:0001666","response to hypoxia","4/9","317/18860",0.0126182965299685,26.4423413950228,9.98182832029091,9.23271361453814e-06,0.000273192558414627,6.35310953657334e-05,"BCL2/PPARG/PTGS2/SIRT1",4
"BP","GO:0034644","cellular response to UV","3/9","92/18860",0.0326086956521739,68.3333333333333,14.1458295019493,9.23760282142613e-06,0.000273192558414627,6.35310953657334e-05,"MAPK14/MMP9/SIRT1",3
"BP","GO:0043085","positive regulation of catalytic activity","4/9","318/18860",0.0125786163522013,26.3591893780573,9.96515428035272,9.3483221737582e-06,0.000273192558414627,6.35310953657334e-05,"AKT1/MAPK14/PTPRC/SIRT1",4
"BP","GO:0010562","positive regulation of phosphorus metabolic process","4/9","320/18860",0.0125,26.1944444444444,9.93203631484426,9.58275435669768e-06,0.000273192558414627,6.35310953657334e-05,"AKT1/MMP9/PTPRC/SIRT1",4
"BP","GO:0045937","positive regulation of phosphate metabolic process","4/9","320/18860",0.0125,26.1944444444444,9.93203631484426,9.58275435669768e-06,0.000273192558414627,6.35310953657334e-05,"AKT1/MMP9/PTPRC/SIRT1",4
"BP","GO:0062197","cellular response to chemical stress","4/9","335/18860",0.0119402985074627,25.0215588723051,9.69299236954759,1.14825654048925e-05,0.000321709806602592,7.48138108957607e-05,"AKT1/CASP1/PTGS2/SIRT1",4
"BP","GO:0032496","response to lipopolysaccharide","4/9","350/18860",0.0114285714285714,23.9492063492063,9.46916909533344,1.36479935215297e-05,0.0003758981266523,8.7415337631207e-05,"AKT1/CASP1/MAPK14/MMP9",4
