"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","3/9","144/9399",0.0208333333333333,21.7569444444444,7.77074461932196,0.000276513538686789,0.00152594508386413,0.000614474530415087,"AKT1/MAPK14/SIRT1",3
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","3/9","154/9399",0.0194805194805195,20.3441558441558,7.49312304065604,0.000337045670857656,0.00177184124917789,0.00071349312047432,"AKT1/BCL2/MAPK14",3
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","3/9","157/9399",0.0191082802547771,19.9554140127389,7.41491705903346,0.00035674656023716,0.00177184124917789,0.00071349312047432,"AKT1/MAPK14/SIRT1",3
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","3/9","157/9399",0.0191082802547771,19.9554140127389,7.41491705903346,0.00035674656023716,0.00177184124917789,0.00071349312047432,"AKT1/MAPK14/PPARG",3
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","3/9","181/9399",0.0165745856353591,17.3093922651934,6.85906459375948,0.000541715232777191,0.00260372805431617,0.00104848109569779,"AKT1/BCL2/MAPK14",3
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","3/9","187/9399",0.0160427807486631,16.7540106951872,6.73660608932274,0.000595981803476595,0.00277504027243789,0.00111746588151862,"BCL2/CASP1/MAPK14",3
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","3/9","195/9399",0.0153846153846154,16.0666666666667,6.58191636800376,0.000673626972297111,0.0029965078489032,0.00120664745593417,"AKT1/CASP1/MAPK14",3
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","3/9","196/9399",0.0153061224489796,15.984693877551,6.56322629660523,0.000683766891696031,0.0029965078489032,0.00120664745593417,"AKT1/MAPK14/PTGS2",3
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","3/9","204/9399",0.0147058823529412,15.3578431372549,6.4185155856896,0.000768442784461758,0.00313897828923038,0.00126401810304579,"AKT1/MAPK14/MMP9",3
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","3/9","205/9399",0.0146341463414634,15.2829268292683,6.40100359459381,0.00077947783021157,0.00313897828923038,0.00126401810304579,"AKT1/BCL2/MAPK14",3
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","3/9","205/9399",0.0146341463414634,15.2829268292683,6.40100359459381,0.00077947783021157,0.00313897828923038,0.00126401810304579,"AKT1/MAPK14/MMP9",3
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","3/9","214/9399",0.014018691588785,14.6401869158878,6.24875945543612,0.00088340549387281,0.00346387943650128,0.00139485077979917,"AKT1/BCL2/MAPK14",3
