"name"
"AKT1"
"ARG1"
"BCL2"
"CASP1"
"CASP8"
"CDK4"
"CSF1R"
"DNMT1"
"GAPDH"
"JAK2"
"LGALS3"
"MAPK14"
"MMP9"
"NFKB1"
"PARP1"
"PGR"
"PPARG"
"PTGS2"
"PTPRC"
"SELL"
"TLR4"
"TNF"
