id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
C1094,J10_PNEUMOBACT,Bacterial pneumoniae,METSIM_C1094_thyroxine,Weighted median,21,-0.0142161805444898,0.0345216342360662,0.680482378411781
GCST90200293,J10_PNEUMOBACT,Bacterial pneumoniae,Thyroxine levels,Weighted median,22,-0.103630738796952,0.0432037316271457,0.0164555228695636
uXhzUk,J10_PNEUMOBACT,Bacterial pneumoniae,thyroxine,Weighted median,7,-0.0309292320646542,0.023085736164213,0.180324987301276
