id.exposure,id.outcome,exposure,outcome,I2,H2,QE,QEp
P05154,J10_PNEUMOBACT,SERPINA5,Bacterial pneumoniae,7.34269713132148,1.07924574646564,18.3471776899159,0.367261922642335
P05231,J10_PNEUMOBACT,IL6,Bacterial pneumoniae,0,0.751362145330468,6.01089716264374,0.646011180785185
P06276,J10_PNEUMOBACT,BCHE,Bacterial pneumoniae,18.1063272317496,1.22109555744298,61.0547778721492,0.135946906075364
P06401,J10_PNEUMOBACT,PGR,Bacterial pneumoniae,30.7872787646872,1.44482109957814,7.2241054978907,0.204499690933851
P06870,J10_PNEUMOBACT,KLK1,Bacterial pneumoniae,6.01140295256561,1.0639588539611,60.6456546757828,0.345833732065684
P07288,J10_PNEUMOBACT,KLK3,Bacterial pneumoniae,0,0.128107761907439,0.384323285722316,0.943461554740852
P07339,J10_PNEUMOBACT,CTSD,Bacterial pneumoniae,26.0810038487137,1.35283222455206,32.4679733892495,0.115806115193944
P07355,J10_PNEUMOBACT,ANXA2,Bacterial pneumoniae,0,0.484122082565074,11.1348078989967,0.981770570658634
P07911,J10_PNEUMOBACT,UMOD,Bacterial pneumoniae,23.8685274484832,1.31351721763075,78.8110330578449,0.0521629444476459
P08575,J10_PNEUMOBACT,PTPRC,Bacterial pneumoniae,0,0.636756150780393,11.4616107140471,0.873752110338478
P08582,J10_PNEUMOBACT,MELTF,Bacterial pneumoniae,32.6447556713447,1.48466538866754,60.8712809353691,0.0234916727524321
P08709,J10_PNEUMOBACT,F7,Bacterial pneumoniae,0,0.770478093692467,22.3438647170815,0.805677477139017
P08887,J10_PNEUMOBACT,IL6R,Bacterial pneumoniae,24.5919888552451,1.32611904865171,51.7186428974168,0.0835430469847115
P09211,J10_PNEUMOBACT,GSTP1,Bacterial pneumoniae,0,0.0539115870514555,0.161734761154366,0.983516504500547
P09486,J10_PNEUMOBACT,SPARC,Bacterial pneumoniae,0,0.871852273704208,23.5400113900136,0.655690807093744
P0DJD7,J10_PNEUMOBACT,PGA4,Bacterial pneumoniae,0,0.89489661179666,8.9489661179666,0.536953654304398
P10606,J10_PNEUMOBACT,COX5B,Bacterial pneumoniae,0,0.808427023394079,4.85056214036448,0.56311775757546
