"ID","CM_Name","CM_Comparison","CM_QC_CV","CM_VIP","CM_VIP_available","CM_VIP_valid","CM_ModelType","CM_Q2_cum","CM_pQ2","CM_FC","CM_Log2FC","CM_p_value","CM_p_adj","CM_Regulation","CM_Regulation_FC1.2","CM_test_method","CM_ReferenceGroup","CM_TargetGroup","CM_Mean_Control","CM_Mean_Model","CM_t_stat","MH_Name","MH_Comparison","MH_QC_CV","MH_VIP","MH_VIP_available","MH_VIP_valid","MH_ModelType","MH_Q2_cum","MH_pQ2","MH_FC","MH_Log2FC","MH_p_value","MH_p_adj","MH_Regulation","MH_Regulation_FC1.2","MH_test_method","MH_ReferenceGroup","MH_TargetGroup","MH_Mean_Model","MH_Mean_HQQD","MH_t_stat","Ion_Mode","Reported_Annotation","Exclusion_Reason","Decision","Exclusion_Set_Version","Excluded_Annotation","QC_CV","Pass_QC","CM_VIP_required","CM_Pass_VIP","CM_Pass","MH_Pass","CM_Pass_padj","MH_Pass_padj","Opposite_Direction","Control_log2_mean","Model_log2_mean","HQQD_log2_mean","RecoveryScore","Recovered_Toward_Control","Reverse_Type","ReverseCandidate_Raw","ReverseCandidate_padj_Raw","ReverseCandidate","ReverseCandidate_padj","ReverseConfidence","ReverseConfidence_padj"
"neg_9514","N-Arachidonoyl Proline","Control_vs_Model",0.0421306764045717,1.41566101398433,TRUE,TRUE,"OPLS-DA",0.524,0.05,0.0933979592090323,-3.42046516308577,0.00441688290419714,0.113646791188495,"Down","Down","Welch_t_test_on_log2","Control","Model",3153.0946719,294.492607548333,3.70496041585795,"N-Arachidonoyl Proline","Model_vs_HQQD",0.0421306764045717,NA,FALSE,FALSE,NA,NA,NA,6.99787279418133,2.80691643981758,0.0389457976686858,0.89790891045598,"Up","Up","Welch_t_test_on_log2","Model","HQQD",294.492607548333,2060.82180645,-2.4106820683779,"NEG",NA,NA,NA,NA,FALSE,0.0421306764045717,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,11.6225527723586,8.20208760927285,11.0090040490904,0.820624185888601,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,4.58504769676817,1.81183472660758
"pos_5361","(-)-Epigallocatechin 7-glucuronide","Control_vs_Model",0.0319673510929529,4.45032767491102,TRUE,TRUE,"OPLS-DA",0.575,0.015,7.77732610745455e-10,-30.260006715844,0.0042238895007506,0.0878100907408043,"Down","Down","Welch_t_test_on_log2","Control","Model",15.30088855165,1.19e-08,4.96665747545449,"(-)-Epigallocatechin 7-glucuronide","Model_vs_HQQD",0.0319673510929529,NA,FALSE,FALSE,NA,NA,NA,58005064297.7857,35.7554598132232,0.00439530631988522,0.923745316043552,"Up","Up","Welch_t_test_on_log2","Model","HQQD",1.19e-08,690.26026514365,-4.92057667355052,"POS",NA,NA,NA,NA,FALSE,0.0319673510929529,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3.93554353027829,-26.3244631855657,9.43099662765756,0.818392204965973,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,5.54969050913908,1.90929552975443
"pos_8456","Prostaglandin F2alpha","Control_vs_Model",0.0135755255120222,1.24766914609236,TRUE,TRUE,"OPLS-DA",0.575,0.015,0.190422241716945,-2.39272609659502,0.0144404245155671,0.14244288151807,"Down","Down","Welch_t_test_on_log2","Control","Model",1742.50390785,331.811500333333,3.26138870362096,"Prostaglandin F2alpha","Model_vs_HQQD",0.0135755255120222,NA,FALSE,FALSE,NA,NA,NA,3.83667314827176,1.93985586490089,0.0239839544526388,0.923745316043552,"Up","Up","Welch_t_test_on_log2","Model","HQQD",331.811500333333,1273.05227361667,-2.85942742959634,"POS",NA,NA,NA,NA,FALSE,0.0135755255120222,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,10.766946176239,8.37422007964397,10.3140759445449,0.810730433233212,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,4.27122968179743,1.69153743340545
"pos_7791","9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid","Control_vs_Model",0.0767261028333382,1.27974693038058,TRUE,TRUE,"OPLS-DA",0.575,0.015,0.282662832356372,-1.82284590078927,0.00529570693755805,0.0936942832591687,"Down","Down","Welch_t_test_on_log2","Control","Model",132.243118606667,37.380214465,3.57534861368382,"9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid","Model_vs_HQQD",0.0767261028333382,NA,FALSE,FALSE,NA,NA,NA,2.7051451233561,1.43570599262142,0.0338800106034304,0.923745316043552,"Up","Up","Welch_t_test_on_log2","Model","HQQD",37.380214465,101.11890487,-2.45650089571388,"POS",NA,NA,NA,NA,FALSE,0.0767261028333382,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,7.04704884209262,5.22420294130335,6.65990893392477,0.787617862815382,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,4.53375038183313,1.85035252025499
"neg_9416","Corchorosol A","Control_vs_Model",0.0817135005187395,1.43260489215611,TRUE,TRUE,"OPLS-DA",0.524,0.05,0.0817308959611113,-3.61297463987407,0.00201267709820464,0.0874221836627827,"Down","Down","Welch_t_test_on_log2","Control","Model",696.30247335,56.9094250068333,4.22442890427574,"Corchorosol A","Model_vs_HQQD",0.0817135005187395,NA,FALSE,FALSE,NA,NA,NA,20.9438678319432,4.38845599306229,0.0467027470528848,0.89790891045598,"Up","Up","Welch_t_test_on_log2","Model","HQQD",56.9094250068333,1191.903475735,-2.32806701726184,"NEG",NA,NA,NA,NA,FALSE,0.0817135005187395,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,9.44357033781341,5.83059569793934,10.2190516910016,0.785362082360132,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,4.81224555098094,1.89050815077701
"pos_10346","PG(TXB2/i-19:0)","Control_vs_Model",0.0435557625942852,1.68943201151277,TRUE,TRUE,"OPLS-DA",0.575,0.015,0.145710764923426,-2.77882062909824,0.0116124800046563,0.129800745576716,"Down","Down","Welch_t_test_on_log2","Control","Model",426.281466378333,62.1137985386667,3.31082327052034,"PG(TXB2/i-19:0)","Model_vs_HQQD",0.0435557625942852,NA,FALSE,FALSE,NA,NA,NA,4.20818826078744,2.07319924760289,0.0383949133705581,0.923745316043552,"Up","Up","Welch_t_test_on_log2","Model","HQQD",62.1137985386667,261.386557843333,-2.49281305911916,"POS",NA,NA,NA,NA,FALSE,0.0435557625942852,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,8.73566252177064,5.9568418926724,8.03004114027529,0.746071634093082,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,4.09687296285669,1.66724219776139
"neg_7945","alpha-CEHC glucuronide","Control_vs_Model",0.0080001410089179,1.19507547924634,TRUE,TRUE,"OPLS-DA",0.524,0.05,0.255241657393248,-1.97006428768863,0.0137364077513266,0.169115446249939,"Down","Down","Welch_t_test_on_log2","Control","Model",9115.38813783333,2326.62677608333,3.47378358895095,"alpha-CEHC glucuronide","Model_vs_HQQD",0.0080001410089179,NA,FALSE,FALSE,NA,NA,NA,2.76928527037458,1.46951367665761,0.0490924198701749,0.89790891045598,"Up","Up","Welch_t_test_on_log2","Model","HQQD",2326.62677608333,6443.09326066667,-2.3408973998644,"NEG",NA,NA,NA,NA,FALSE,0.0080001410089179,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,13.1540883729183,11.1840240852297,12.6535377618873,0.745921686840847,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,3.91703407297599,1.56450612958215
"neg_12234","12,13-DiHODE","Control_vs_Model",0.0341160500204908,1.14857682828838,TRUE,TRUE,"OPLS-DA",0.524,0.05,0.260813226675728,-1.9389110597677,0.00262673450296344,0.100860143520446,"Down","Down","Welch_t_test_on_log2","Control","Model",82544.0538333333,21528.5810231667,4.71568053913856,"12,13-DiHODE","Model_vs_HQQD",0.0341160500204908,NA,FALSE,FALSE,NA,NA,NA,2.42935439546093,1.28057296641633,0.0286945285128564,0.89790891045598,"Up","Up","Welch_t_test_on_log2","Model","HQQD",21528.5810231667,52300.5529366667,-2.58660923964932,"NEG",NA,NA,NA,NA,FALSE,0.0341160500204908,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,16.3328766720455,14.3939656122778,15.6745385786941,0.660459880284429,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,4.78324460843171,1.70350801714501
"neg_12260","PE(P-18:0/18:1(12Z)-2OH(9,10))","Control_vs_Model",0.00957451547061151,1.12049997647363,TRUE,TRUE,"OPLS-DA",0.524,0.05,0.2621702455971,-1.93142413535874,0.00063352805472599,0.0679685098713171,"Down","Down","Welch_t_test_on_log2","Control","Model",81730.2699766667,21427.2449525,5.43970581574036,"PE(P-18:0/18:1(12Z)-2OH(9,10))","Model_vs_HQQD",0.00957451547061151,NA,FALSE,FALSE,NA,NA,NA,2.38216522305222,1.25227347962165,0.0167774386836205,0.89790891045598,"Up","Up","Welch_t_test_on_log2","Model","HQQD",21427.2449525,51043.2377516667,-2.86969067651426,"NEG",NA,NA,NA,NA,FALSE,0.00957451547061151,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,16.3185828796739,14.3871587443151,15.6394322239368,0.648367935709291,TRUE,"Model_Down_HQQD_Up",TRUE,FALSE,TRUE,FALSE,5.62187642378375,1.86282790574222
"pos_6059","Azelaic acid","Control_vs_Model",0.0523778158378485,1.01882762138541,TRUE,TRUE,"OPLS-DA",0.575,0.015,2.29034915923729,1.19556755111777,0.0336546569959934,0.195754246469808,"Up","Up","Welch_t_test_on_log2","Control","Model",37.8576997348333,86.7073507583333,-2.81085305218056,"Azelaic acid","Model_vs_HQQD",0.0523778158378485,NA,FALSE,FALSE,NA,NA,NA,0.595161235643069,-0.748647531759196,0.0125290511049658,0.923745316043552,"Stable","Down","Welch_t_test_on_log2","Model","HQQD",86.7073507583333,51.6048540166667,3.16050011542555,"POS",NA,NA,NA,NA,FALSE,0.0523778158378485,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,5.24251484924735,6.43808240036512,5.68943486860593,0.626185890591677,TRUE,"Model_Up_HQQD_Down",TRUE,FALSE,TRUE,FALSE,4.00122254125847,1.36892244940081
