Taxon,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Subdoligranulum,0.000881436327214,0.000947830041487,0.000867321632021,0.000741175084687,0.000870547435595,0.000843801025696,0.000486098259276,0.000510900937922,0.000452913592646,0.000370075192113,0.000411118180385,0.000383673571441,0.026373746618,0.0206946507781,0.0167165896193,0.0168075214078,0.0195226503838,0.0349600352523,0.000674044234832,0.00320779216605,0.00336201356947,0.00875424279482,0.00885287729903,0.000839266199458
Subtercola,1.82378714507e-07,0,0,0,0,0,3.5865587256e-07,0,0,0,0,0,0,0,0,0,0,0,0,8.03514895559e-07,0,0,0,0
Succinatimonas,8.57179958184e-06,8.14636907166e-06,4.29367144565e-06,9.9131754528e-06,6.8233633097e-06,1.60174834035e-06,6.93401353615e-06,8.75163388143e-06,8.42706794051e-06,5.20147328841e-06,5.44636690193e-06,4.57802333982e-06,1.54710302848e-06,8.78015544387e-06,3.50746739809e-06,5.00250125063e-06,1.62041935805e-06,0,1.35896015087e-06,1.44632681201e-06,3.75895971542e-07,1.17169597636e-06,1.21501146667e-06,2.61912603693e-06
Succiniclasticum,0.000324816490537,0.000306710795548,7.76594487561e-05,7.4348815896e-05,8.17382063141e-05,0.000144317525465,0.00034705933268,0.000382154679489,0.000279580371673,0.000301878097887,0.000363586251059,0.000350218785496,1.43458644459e-05,3.16085595979e-06,4.04121243693e-05,6.01771473972e-05,4.24549871809e-05,2.24089159352e-05,0.000245801917289,0.000295372075608,0.000130247954139,0.000335774589798,0.000291450875568,0.000247016324358
Succinimonas,4.45004063398e-05,4.25647783994e-05,3.58428225028e-05,3.04004047219e-05,2.80042202502e-05,3.6840211828e-06,8.96639681399e-06,1.05019606577e-05,1.37146399816e-05,8.86176930618e-06,9.24231959116e-06,8.27565757583e-06,9.14197244103e-06,2.08967699564e-05,6.25244188355e-05,6.70923697143e-05,4.11586516944e-05,6.03568611684e-05,1.54581717162e-05,1.25348323707e-05,1.42840469186e-05,1.97514464587e-05,1.80732955667e-05,2.128039905e-05
Succinispira,1.34960248735e-05,1.24232128343e-05,0,0,0,4.80524502105e-07,3.5865587256e-06,6.41786484638e-06,3.63520577826e-06,2.69706022362e-06,4.62115979558e-06,4.57802333982e-06,0,0,0,0,0,0,1.01922011315e-06,2.41054468668e-06,1.3156359004e-06,0,0,8.1847688654e-07
Succinivibrio,1.82378714507e-05,2.09769003595e-05,1.21342888681e-05,1.27219084978e-05,1.16565789874e-05,1.29741615568e-05,8.96639681399e-06,8.75163388143e-06,7.4356481828e-06,6.55000340022e-06,1.03976095401e-05,1.1092902708e-05,1.18142413084e-05,5.26809326632e-07,9.91240786417e-06,1.47132389724e-06,1.3287438736e-05,1.06319674145e-05,1.74966119425e-05,1.5748891953e-05,9.58534727431e-06,1.12148043452e-05,8.80883313336e-06,1.93160545223e-05
Suicoccus,2.00616585958e-06,1.62927381433e-06,0,0,0,6.40699336139e-07,3.22790285304e-06,2.33376903505e-06,2.31331276798e-06,4.23823749426e-06,8.25207106354e-07,7.04311283049e-07,2.81291459724e-06,7.0241243551e-07,8.38742203891e-06,0,0,0,4.07688045262e-06,1.28562383289e-06,3.57101172965e-06,4.85416904493e-06,6.22693376669e-06,2.94651679154e-06
Suillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79480075436e-07,0,0,0,0,0
Sulfitobacter,0,0,0,1.32175672704e-06,4.26460206856e-07,1.60174834035e-06,5.97759787599e-07,0,4.95709878853e-07,1.15588295298e-06,0,0,0,0,0,0,0,0,6.79480075436e-07,1.12492085378e-06,0,5.02155418441e-07,4.55629300002e-07,6.54781509232e-07
Sulfobacillus,4.01233171916e-06,3.66586608225e-06,6.90721058648e-06,4.79136813552e-06,3.8381418617e-06,1.60174834035e-06,3.5865587256e-07,4.86201882301e-06,0,0,1.81545563398e-06,1.76077820762e-06,1.26581156876e-06,0,7.62492912628e-07,4.70823647118e-06,8.10209679024e-07,0,6.79480075436e-07,6.42811916447e-07,0,0,0,0
Sulfolobus,1.09427228704e-06,6.10977680374e-07,1.12008820321e-06,6.6087836352e-07,5.68613609141e-07,0,2.3910391504e-07,5.83442258762e-07,0,0,0,0,3.37549751669e-06,3.51206217755e-07,8.23492345639e-06,8.82794338346e-07,2.59267097288e-06,4.90706188361e-06,8.49350094295e-07,2.24984170757e-06,1.3156359004e-06,0,0,4.91086131924e-07
Sulfuricella,1.82378714507e-07,1.01829613396e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfuricurvum,1.45902971606e-06,1.83293304112e-06,7.65393605528e-06,8.59141872576e-06,6.68120990741e-06,1.60174834035e-06,1.67372740528e-06,9.33507614019e-06,1.48712963656e-06,9.6323579415e-07,3.63091126796e-06,4.04978987753e-06,0,0,0,0,0,9.81412376722e-07,3.39740037718e-07,8.03514895559e-07,7.51791943083e-07,2.00862167376e-06,2.27814650001e-06,3.27390754616e-07
Sulfuriferula,0,0,0,0,0,0,9.56415660159e-07,0,0,0,0,0,0,0,0,0,0,0,8.49350094295e-07,0,0,0,0,0
Sulfuriflexus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39739928854e-07,5.02155418441e-07,0,0
Sulfurifustis,5.47136143522e-07,0,0,4.9565877264e-07,0,4.80524502105e-07,3.5865587256e-07,0,4.95709878853e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurihydrogenibium,1.09427228704e-06,1.83293304112e-06,1.08275192977e-05,9.74795586192e-06,7.53413032112e-06,1.28139867228e-06,9.56415660159e-07,1.16688451752e-06,8.26183131422e-07,9.6323579415e-07,9.90248527624e-07,5.28233462287e-07,0,0,0,0,0,0,0,0,9.39739928854e-07,1.53994328322e-05,1.70101605334e-05,6.54781509232e-07
Sulfurimonas,5.1066040062e-06,6.92441371091e-06,4.48035281285e-06,6.77400322608e-06,7.53413032112e-06,0,1.56613064351e-05,1.63363832453e-05,1.42103498605e-05,1.84941272477e-05,1.53488521782e-05,1.67273929724e-05,0,7.0241243551e-07,0,0,0,0,1.85158320556e-05,1.06063966214e-05,1.10889311605e-05,5.35632446337e-06,3.34128153334e-06,1.84975776358e-05
Sulfurirhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34626349503e-05,0,0,0,0
Sulfurisphaera,2.18854457409e-06,1.83293304112e-06,0,0,0,0,1.55417544776e-06,6.80682635222e-06,1.48712963656e-06,5.7794147649e-07,3.30082842541e-06,2.64116731143e-06,0,0,0,0,0,0,8.49350094295e-07,0,0,0,0,9.82172263848e-07
Sulfuritalea,0,0,0,0,0,5.28576952315e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurivermis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.79480075436e-07,0,0,0,0,1.14586764116e-06
Sulfurivirga,0,0,5.60044101606e-07,0,5.68613609141e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurospirillum,1.45902971606e-06,0,1.68013230482e-06,2.4782938632e-06,2.55876124114e-06,1.76192317438e-06,5.02118221583e-06,5.83442258762e-06,5.2875720411e-06,4.62353181192e-06,3.79595268923e-06,3.69763423601e-06,0,0,0,7.35661948621e-07,0,0,5.7755806412e-06,8.03514895559e-06,3.75895971542e-07,4.01724334753e-06,0,1.03128087704e-05
Sulfurovum,9.11893572536e-06,1.30341905147e-05,3.73362734404e-06,5.7826856808e-06,3.98029526399e-06,7.68839203367e-06,1.68568260103e-05,8.36267237558e-06,1.60279527496e-05,1.2522065324e-05,1.20480237528e-05,1.02125136042e-05,1.61742589341e-05,2.98525285092e-06,4.13271158645e-05,4.47282464762e-05,2.78712129584e-05,1.03048299556e-05,1.57979117539e-05,1.34990502454e-05,6.39023151621e-06,2.34339195273e-06,1.97439363334e-06,1.5387365467e-05
Sunxiuqinia,1.56845694476e-05,1.54781012362e-05,4.48035281285e-06,7.4348815896e-06,7.67628372341e-06,1.04113642123e-05,1.99651769058e-05,1.32246911986e-05,1.61931893759e-05,1.6952949977e-05,1.74943906547e-05,1.69034707932e-05,0,0,0,0,0,0,1.64773918293e-05,9.64217874671e-06,3.38306374388e-05,7.03017585818e-06,4.40441656668e-06,1.63695377308e-05
Susfortunavirus,0,2.03659226791e-07,0,0,0,6.72734302946e-06,3.5865587256e-07,0,0,5.7794147649e-07,0,0,0,0,0,0,0,0,0,2.08913872845e-06,0,0,0,0
Sutcliffiella,9.11893572536e-06,9.16466520562e-06,5.60044101606e-07,1.48697631792e-06,1.99014763199e-06,4.64507018701e-06,6.45580570607e-06,8.94611463435e-06,9.5837243245e-06,4.62353181192e-06,5.11628405939e-06,5.63449026439e-06,0,5.26809326632e-07,1.67748440778e-06,0,8.58822259766e-06,3.43494331853e-06,3.90701043376e-06,4.49968341513e-06,1.27804630324e-05,5.02155418441e-06,4.40441656668e-06,4.25607981001e-06
Sutterella,0.000121646602576,0.000124232128343,3.5096097034e-05,5.3696367036e-05,4.30724808925e-05,0.000329960158112,0.000113933015516,0.000116105009494,0.000108395226843,0.000114432412345,0.000113218414992,0.000120789385043,4.21937189586e-05,6.37439285225e-05,9.97340729718e-05,4.17855986817e-05,0.000211302684289,0.000118750897583,0.000206392072914,0.000214056368177,0.000123293878666,0.000234171810133,0.000159014625701,0.000163367986553
Suttonella,0,0,9.3340683601e-07,0,0,0,7.17311745119e-07,3.88961505841e-07,3.30473252569e-07,5.7794147649e-07,6.60165685083e-07,7.04311283049e-07,0,0,0,0,0,0,1.01922011315e-06,6.42811916447e-07,7.51791943083e-07,8.36925697402e-07,9.11258600003e-07,1.14586764116e-06
Svunavirus,0,0,0,0,0,0,4.78207830079e-07,0,6.60946505138e-07,7.7058863532e-07,0,7.04311283049e-07,0,0,0,0,0,0,3.39740037718e-07,0,0,0,0,4.91086131924e-07
Symbiobacterium,2.5533020031e-06,1.42561458754e-06,0,6.6087836352e-07,8.52920413712e-07,8.00874170174e-07,9.56415660159e-07,1.16688451752e-06,8.26183131422e-07,0,0,7.04311283049e-07,6.89164076324e-06,0,0,1.17705911779e-06,3.2408387161e-07,0,0,6.42811916447e-07,3.75895971542e-07,1.6738513948e-07,0,6.54781509232e-07
Syncephalastrum,0,0,5.60044101606e-07,4.9565877264e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syncephalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49350094295e-07,0,0,0,0,0
Synechococcus,8.02466343832e-06,7.53539139128e-06,8.58734289129e-06,6.6087836352e-06,1.03771983668e-05,5.12559468912e-06,2.15193523536e-06,3.11169204673e-06,2.47854939427e-06,1.73382442947e-06,2.8057041616e-06,2.64116731143e-06,0,0,0,0,0,0,1.52883016973e-06,1.38204562036e-05,1.18407231036e-05,7.53233127662e-06,4.10066370001e-06,1.30956301846e-06
Synechocystis,9.11893572536e-07,0,0,6.6087836352e-07,2.84306804571e-07,0,3.5865587256e-07,1.36136527044e-06,9.91419757707e-07,0,0,1.4086225661e-06,0,0,0,0,0,0,5.09610056577e-07,2.41054468668e-06,2.25537582925e-06,1.6738513948e-06,1.67064076667e-06,2.128039905e-06
Synergistes,4.08528320496e-05,4.76562590692e-05,1.5681234845e-05,1.83393745877e-05,2.18916239519e-05,7.46414726602e-05,1.50635466475e-05,2.39211326092e-05,1.30536934765e-05,1.11735352121e-05,1.28732308591e-05,1.65513151517e-05,0.000109422377833,0.000124502604194,3.94971328741e-05,5.56160433158e-05,4.29411129883e-05,8.86542513639e-05,1.0871681207e-05,3.27834077388e-05,1.10889311605e-05,2.47730006431e-05,1.70101605334e-05,1.84975776358e-05
Syntrophaceticus,7.29514858029e-06,6.31343603054e-06,2.42685777363e-06,1.6521959088e-06,3.55383505713e-06,0,7.77087723879e-06,7.5847493639e-06,7.76612143537e-06,3.66029601777e-06,7.59190537845e-06,6.69095718897e-06,8.55126037561e-05,9.58792974471e-05,1.86048270681e-05,2.83965512168e-05,2.93295903807e-05,5.72490553088e-06,3.90701043376e-06,1.09278025796e-05,4.5107516585e-06,6.52802043973e-06,2.88565223334e-06,3.43760292347e-06
