Taxon,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Candidatus_Bipolaricaulota,9.11893572536e-07,1.22195536075e-06,5.60044101606e-07,1.6521959088e-07,9.95073815997e-07,3.2034966807e-06,8.36863702639e-07,0,4.95709878853e-07,3.8529431766e-07,9.90248527624e-07,0,1.1251658389e-06,7.0241243551e-07,1.37248724273e-06,5.73816319925e-06,4.86125807414e-06,8.17843647269e-07,0,3.21405958224e-07,0,8.36925697402e-07,9.11258600003e-07,1.63695377308e-07
Candidatus_Blackallbacteria,0,0,0,0,5.68613609141e-07,0,0,0,0,0,0,0,4.21937189586e-07,0,0,0,0,0,2.54805028288e-06,1.60702979112e-06,0,0,0,3.11021216885e-06
Candidatus_Brennerbacteria,2.00616585958e-06,1.62927381433e-06,0,0,0,0,1.87696573306e-05,1.94480752921e-06,2.39593108113e-05,2.1576481789e-05,1.98049705525e-05,1.848817118e-05,0,0,0,0,0,0,1.18909013201e-06,1.09278025796e-05,0,1.15495746241e-05,1.03275974667e-05,8.1847688654e-07
Candidatus_Buchananbacteria,4.01233171916e-06,4.48050298941e-06,2.98690187523e-06,4.79136813552e-06,3.98029526399e-06,1.28139867228e-06,6.57535766359e-06,2.33376903505e-06,4.62662553597e-06,3.27500170011e-06,4.62115979558e-06,3.52155641525e-06,0,0,0,0,0,3.27137458907e-07,1.18909013201e-06,5.62460426891e-06,1.87947985771e-06,2.51077709221e-06,1.97439363334e-06,3.11021216885e-06
Candidatus_Campbellbacteria,1.02132080124e-05,9.77564288599e-06,1.12008820321e-06,0,5.68613609141e-07,3.2034966807e-07,5.73849396095e-06,0,6.11375517253e-06,5.20147328841e-06,4.45611837431e-06,4.57802333982e-06,0,0,0,0,0,0,0,2.84444273028e-05,2.63127180079e-06,0,0,6.54781509232e-07
Candidatus_Cerribacteria,0,0,0,0,0,0,1.1955195752e-06,8.75163388143e-06,1.15665638399e-06,7.7058863532e-07,3.13578700414e-06,2.99332295296e-06,0,0,0,0,0,0,0,1.76773277023e-06,0,0,0,0
Candidatus_Cloacimonetes,1.1489859014e-05,1.05902797932e-05,1.51211907434e-05,1.75132766333e-05,1.66319480674e-05,8.48926620385e-06,5.61894200343e-06,5.25098032886e-06,6.27899179881e-06,5.7794147649e-06,4.45611837431e-06,5.63449026439e-06,2.25033167779e-06,0,6.09994330103e-07,0,6.643719368e-06,9.81412376722e-07,6.79480075436e-07,3.90508239242e-05,2.25537582925e-06,3.68247306857e-06,3.18940510001e-06,1.80064915039e-06
Candidatus_Coatesbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90706188361e-07,1.69870018859e-07,0,1.3156359004e-06,1.50646625532e-06,7.59382166669e-07,4.91086131924e-07
Candidatus_Collierbacteria,1.27665100155e-06,4.27684376262e-06,9.3340683601e-07,0,0,3.52384634877e-06,2.63014306544e-06,1.16688451752e-06,1.81760288913e-06,1.54117727064e-06,2.31057989779e-06,1.93685602839e-06,0,0,0,0,0,3.27137458907e-07,1.69870018859e-07,6.42811916447e-07,4.13485568696e-06,1.17169597636e-06,1.06313503334e-06,0
Candidatus_Colwellbacteria,0,2.03659226791e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39740037718e-07,0,0,0,0,0
