"signature","n_matched","matched_genes"
"CoreTargets",9,"AKT1;BCL2;CASP1;MAPK14;MMP9;PPARG;PTGS2;PTPRC;SIRT1"
"Th17",9,"RORC;CCR6;IL17A;IL17F;IL23R;STAT3;RORA;BATF;MAF"
"Treg",8,"FOXP3;IL2RA;CTLA4;IKZF2;TIGIT;TNFRSF18;IL10;LRRC32"
