sdf_heavy_index_0based,sdf_element,docked_heavy_index_0based,docked_pdb_element,mapped
0,I,0,I,True
1,I,1,I,True
2,I,10,I,True
3,I,9,I,True
4,O,8,O,True
5,O,21,O,True
6,O,23,O,True
7,O,17,O,True
8,N,20,N,True
9,C,18,C,True
10,C,19,C,True
11,C,2,C,True
12,C,3,C,True
13,C,4,C,True
14,C,5,C,True
15,C,6,C,True
16,C,7,C,True
17,C,22,C,True
18,C,11,C,True
19,C,13,C,True
20,C,12,C,True
21,C,15,C,True
22,C,14,C,True
23,C,16,C,True
