eggNOG,total_genes,matched_genes,matched_ratio
COG3385,490,422,0.861224489795918
COG0534,16492,13225,0.801903953431967
COG2972,5678,4564,0.803804156393096
COG3279,4728,3984,0.842639593908629
COG0745,8232,6833,0.830053449951409
