"eggNOG","descrition","eggNOG_Class","Category","Trend_Model_vs_Control","Trend_HQQD_vs_Model","LDA_avg"
"COG3385","IS4 transposase InsG","[L]: Replication, recombination and repair","INFORMATION STORAGE AND PROCESSING","Up","Down",2.94725636015236
"COG0534","Na+-driven multidrug efflux pump, DinF/NorM/MATE family","[V]: Defense mechanisms","CELLULAR PROCESSES AND SIGNALING","Down","Up",2.75740459610495
"COG2972","Sensor histidine kinase YesM","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","Down","Up",2.67482096637393
"COG3279","DNA-binding response regulator, LytR/AlgR family","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","Down","Up",2.63487356831898
"COG0745","DNA-binding response regulator, OmpR family","[T]: Signal transduction mechanisms","CELLULAR PROCESSES AND SIGNALING","Down","Up",2.62263373163638
