"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","3/18","193/9369",0.0155440414507772,8.09067357512953,4.36686845697742,0.00559040343946552,0.0115628503873996,0.00461444000422539,"AKT1/JAK2/NFKB1",3
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","2/18","59/9369",0.0338983050847458,17.6440677966102,5.62653865096529,0.00559082875874264,0.0115628503873996,0.00461444000422539,"AKT1/PTGS2",2
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","2/18","62/9369",0.032258064516129,16.7903225806452,5.4728387848837,0.00615798703693945,0.0125927375362133,0.00502544181607122,"AKT1/SIRT1",2
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","3/18","201/9369",0.0149253731343284,7.76865671641791,4.25592415895277,0.00625826137666965,0.0126555952283764,0.00505052672503165,"MMP9/NFKB1/PPARG",3
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","3/18","205/9369",0.0146341463414634,7.61707317073171,4.20272518359603,0.00660946543738627,0.0132189308747725,0.00527533967819147,"CASP8/CDK4/NFKB1",3
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","2/18","68/9369",0.0294117647058824,15.3088235294118,5.19546264727037,0.00736790431294491,0.0145756367929997,0.00581676656285124,"AKT1/NFKB1",2
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","2/18","71/9369",0.028169014084507,14.6619718309859,5.06965556410132,0.00801011235086557,0.0156757037404036,0.00625577535042133,"MAPK14/NFKB1",2
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","2/18","73/9369",0.0273972602739726,14.2602739726027,4.98995391637639,0.00845186167479798,0.016191987629613,0.00646181114195081,"AKT1/CDK4",2
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","2/18","73/9369",0.0273972602739726,14.2602739726027,4.98995391637639,0.00845186167479798,0.016191987629613,0.00646181114195081,"AKT1/CDK4",2
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","3/18","227/9369",0.013215859030837,6.87885462555066,3.93383107003634,0.00875221542765255,0.016592741748258,0.00662174193539502,"AKT1/MAPK14/NFKB1",3
"Human Diseases","Cancer: specific types","hsa05214","Glioma","2/18","76/9369",0.0263157894736842,13.6973684210526,4.87610684977427,0.0091347010549361,0.0171393359999832,0.00683987382301238,"AKT1/CDK4",2
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","2/18","87/9369",0.0229885057471264,11.9655172413793,4.50815283917235,0.0118419203087277,0.0219921377162086,0.00877650377338572,"AKT1/BCL2",2
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","2/18","91/9369",0.021978021978022,11.4395604395604,4.39042325574731,0.0129038777519935,0.0237222803117456,0.00946695975425359,"AKT1/NFKB1",2
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","2/18","95/9369",0.0210526315789474,10.9578947368421,4.2798293536017,0.014006197691171,0.0254912797979313,0.0101729225335874,"TLR4/TNF",2
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","2/18","98/9369",0.0204081632653061,10.6224489795918,4.20112911836047,0.014859058905553,0.0267757299090164,0.0106855139602205,"AKT1/PTPRC",2
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","2/18","107/9369",0.0186915887850467,9.72897196261682,3.98412782918601,0.0175492719950799,0.0313134068931818,0.0124963856311714,"AKT1/SIRT1",2
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","2/18","110/9369",0.0181818181818182,9.46363636363636,3.91743646367154,0.0184890498094278,0.032669971507921,0.0130377561251969,"AKT1/MAPK14",2
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","2/18","116/9369",0.0172413793103448,8.97413793103448,3.79142196811214,0.0204316799104846,0.035755439843348,0.0142690881965935,"MAPK14/MMP9",2
"Organismal Systems","Immune system","hsa04611","Platelet activation","2/18","126/9369",0.0158730158730159,8.26190476190476,3.6004767438326,0.0238517187476109,0.0413429791625256,0.0164989332690241,"AKT1/MAPK14",2
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","2/18","133/9369",0.0150375939849624,7.82706766917293,3.47895435739384,0.0263773046467032,0.0452893343933961,0.0180738234421303,"AKT1/MAPK14",2
