"targets"
"ADAM17"
"AKR1B1"
"AKT1"
"ANPEP"
"APEX1"
"BCHE"
"BCL2"
"CA1"
"CA9"
"CASP1"
"CDC25B"
"CES1"
"CTSD"
"EPHX2"
"F2"
"FUCA1"
"FYN"
"GPBAR1"
"GSTP1"
"LCK"
"MAPK14"
"MME"
"MMP8"
"MMP9"
"PGR"
"PPARG"
"PTGER4"
"PTGS2"
"PTPRC"
"SIRT1"
