"SampleID","Group","Batch","Cell_Type","Proportion"
"GSM983428","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0232137243119967
"GSM983428","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983428","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983428","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983428","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.0101582949539474
"GSM983428","Bacterial_Pneumonia","GSE40012","Mast cells resting",0
"GSM983428","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983428","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983428","Bacterial_Pneumonia","GSE40012","Neutrophils",0.342670576737247
"GSM983439","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983439","Bacterial_Pneumonia","GSE40012","B cells memory",0.0510257500669873
"GSM983439","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983439","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983439","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0549083049619246
"GSM983439","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983439","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.00682175772299743
"GSM983439","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983439","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.0132040462346955
"GSM983439","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0211991301480973
"GSM983439","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0111585528416739
"GSM983439","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983439","Bacterial_Pneumonia","GSE40012","Monocytes",0.471761901658725
"GSM983439","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.033287110773684
"GSM983439","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983439","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983439","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983439","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.011756745038483
"GSM983439","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0414835924109655
"GSM983439","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983439","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983439","Bacterial_Pneumonia","GSE40012","Neutrophils",0.283393108141766
"GSM983456","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983456","Bacterial_Pneumonia","GSE40012","B cells memory",0.0656955067206628
"GSM983456","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983456","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983456","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.060127692124631
"GSM983456","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983456","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.0103310960120635
"GSM983456","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983456","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.0139293672074658
"GSM983456","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0233404834257984
"GSM983456","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0661490058280316
"GSM983456","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983456","Bacterial_Pneumonia","GSE40012","Monocytes",0.42032358617482
"GSM983456","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0099040729424507
"GSM983456","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983456","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983456","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983456","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.0110226760264059
"GSM983456","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.00651321246406951
"GSM983456","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983456","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983456","Bacterial_Pneumonia","GSE40012","Neutrophils",0.3126633010736
"GSM983510","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983510","Bacterial_Pneumonia","GSE40012","B cells memory",0.0712773152298413
"GSM983510","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983510","Bacterial_Pneumonia","GSE40012","T cells CD8",0.0487555320268362
"GSM983510","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.036421575573362
"GSM983510","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0.0412567772353359
"GSM983510","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0
"GSM983510","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983510","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.0149994231520432
