"Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Sample","Group"
-0.161251697903244,-0.0479558729889967,-0.0397153773883269,-0.00484300016009027,-0.0940781283390394,0.119160121610095,-0.0162741701962232,-0.017329725024531,-0.00529801114498072,0.0110728926798597,0.00549055370164357,0.00261193342791841,0.0043858223668492,0.000370428704562434,0.00744499693998508,-0.00958446031762901,0.00623321300638195,0.00896187668212882,-0.000238312248916093,"K1","Control"
-0.153307100663344,-0.035480913880979,-0.0410856563064724,0.0105559705515195,-0.0935881858936553,0.126368967829832,-0.0113978419409042,-0.0289167197394314,-0.00850499669435502,0.00164261313019038,-0.00468215371491388,0.00153074273828865,9.41986521091262e-05,-0.00148691861554037,-0.00641852314853041,0.00670311684831043,-0.00635218489258426,-0.00854796870426419,-0.000519323838303453,"K2","Control"
-0.148928220153813,-0.0909694337343552,-0.0755696437340806,0.155532379535062,-0.0231280544123323,-0.0363097421652278,-0.000375591242293637,-0.00673960978183127,-0.00319598720093783,-0.00206635125969018,-0.00465536747758785,-0.00753928397928055,-0.0184727390585394,-0.0185807487823525,-0.00604929127355656,0.0142546362288291,0.00205529225699669,0.00626633968294221,0.00311049601060637,"K3","Control"
-0.163037871004098,-0.127944134981323,-0.0626530975022126,0.119615509061277,-0.00766092118559312,-0.0495504448643775,0.00991929993159927,0.0154801160157165,0.0105988828129788,0.002310460381722,-0.00340076833787467,0.0248591093857619,0.0184555112992694,0.0226057514415713,-0.0120615859136129,-0.00963140351740892,-0.00421919355780559,0.00309039593793914,-0.00117972758674696,"K4","Control"
-0.153575409623383,-0.111158610016877,-0.0718546679998762,0.141171309883448,-0.0181262157764318,-0.0430219071870035,0.00483641886385138,0.0011550973082717,0.00592010115611792,0.00581260893231725,-0.00728195699352686,-0.00206361762622236,-0.000703122706140218,0.000697028882464881,0.0163466047501869,-0.00334304757168921,0.00171731048425736,-0.0090404099153603,-0.00121504010644153,"K5","Control"
-0.0859539400749393,0.0319819858854156,-0.37079173647617,-0.152281343495508,0.0608693211157111,-0.0128361537397231,-0.0123615045142387,0.0155444378563787,0.013790990574176,-0.00101540035210527,0.00233577354943331,-0.00181305763857715,-0.00518577355241144,0.000351331266305441,-0.000313325265316878,0.000296856683349174,-0.000426877722911532,-0.000189871881830374,3.77487818749303e-05,"K6","Control"
-0.196535152321229,-0.0750060614043082,0.0749910395812774,-0.064577305915374,0.0102144934417081,-0.0216727015616381,-0.0111136647513394,-0.00451102647353055,0.00640974818917504,-0.0193800555742035,-0.0221799055176691,-0.0175144880443185,-0.00801835097989837,-0.0148888438443558,-0.0145923802843023,-0.0107393882603157,0.00931757378776673,-0.00298097327489977,-0.00354804666023759,"M1","Model"
-0.189458875117825,-0.0576696011203241,0.0556082704061491,-0.0286516435202139,0.0282042918352228,-0.00779317671291802,0.00582164850966288,0.0189581717404026,-0.0113099446660378,0.0095430947681784,0.0934773812135509,0.0112807510816698,0.0130764706653855,-0.0131957087577833,-0.00331992164101448,0.00124577571765234,0.000736820496989968,-0.00202756712359057,0.000178963163706176,"M2","Model"
-0.19397156628502,-0.0631886413929417,0.0711905756874801,-0.0784851942925755,0.00328237794152304,-0.0120147225405721,0.00102721087779917,-0.00178763490410331,0.00954836137437013,-0.0273126960341534,-0.0270629032757832,-0.0102046331909791,0.0277005956312566,-0.0066401107409496,-0.00142790041570209,0.00544276009925997,-0.0118159522116511,0.0020334280797423,-0.000613653664864966,"M3","Model"
-0.202741152717894,-0.0647973094081344,0.0810882985705468,-0.075204800546837,0.0143140618319142,-0.00898588650301703,-0.00862293331644126,0.00411808803407249,0.0280105017652326,-0.0228479128803318,-0.0250388261574157,0.0251326745246343,-0.0130763278125835,-0.00588371707185406,0.00595104575506955,0.0037155971824098,0.00286649310786893,8.57774018988527e-05,0.00204511752581489,"M4","Model"
