"Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Axis.20","Axis.21","Axis.22","Axis.23","Sample","Group"
-0.130923115533695,0.0142347670906224,0.0988832316901379,0.224922977341489,-0.0245359486160401,-0.0368143688348606,0.0158101704986061,0.00412862057612636,-0.00890087342751784,0.00219679896463575,-0.00793001549797902,-0.00794916697276956,0.000641917843124411,-0.00280685624642992,-0.02178941417781,-0.0127472374499384,-0.0196869320364423,-0.000169248518503484,-0.00173912556499286,-0.0583759734660786,0.069557401673727,0.0254184953390641,-0.00827705813777768,"K1","Control"
-0.12110399545007,0.0124384600743963,0.0883036643982186,0.230973226784968,-0.0208625731987463,-0.0433598009761796,0.0202542415566778,0.00990307404906228,-0.0125769761698431,0.00922221146897624,-0.0148666718069289,-0.000463812204478374,0.00542737989300893,0.00584588691043953,0.0252488785476925,0.0174219552636299,0.01504281377371,-0.00384629103260022,-0.00647429129195377,0.0550465013549573,-0.0685943682152837,-0.024398365603298,0.00914771929597011,"K2","Control"
-0.0706148879951694,-0.305215114069058,0.00682173715604158,-0.0368651693860998,-0.0717502262688652,-0.00648332465724318,-0.00606464962226005,0.00176128712768162,-0.00392850642947558,0.00337252416319854,0.00506222535800333,0.004625512077316,0.00486213994951407,-0.0017761970778348,0.110952745459618,-0.0691161807580451,-0.0172450586437242,-0.0227302066827569,0.0199767085552899,-0.0121550889329894,0.00524657442566608,-0.0099744746975586,0.00177553620152433,"K3","Control"
-0.0820539319504786,-0.311057551869893,0.0133234636136695,-0.0454743652071265,-0.0604243682106668,-0.0111089435407587,-0.00367446426301027,0.00675037087741491,-0.00837234871358148,0.00615865325045249,-0.00173015922903347,0.00521530057987335,0.000289007206614698,0.00761979592061777,-0.0400727370128176,0.0789131995999747,-0.0905009640745768,0.0187712200390922,-0.000565198637719854,0.0222114096720426,-0.00344331347184901,0.0135147117303171,-0.00700231906452521,"K4","Control"
-0.0904627721301025,-0.30596880364259,0.00457855878125334,-0.0329823580166813,-0.0722488337429117,-0.0099700915467567,0.000140392797048019,-0.00230855873573417,-0.00101391405890679,0.000995045558079642,-0.00583265419319342,-0.00209049373687244,-0.000462065027651743,-0.00593398959978888,-0.0682627064198333,-0.00779172663057263,0.108930497243711,0.00304054654987909,-0.021677662043306,-0.0101063698915819,-0.0020779439095716,-0.00185645545277954,0.00576089899011362,"K5","Control"
-0.045978763841947,-0.212610896414,0.00534965883139493,0.0237146775942724,0.292505308347505,0.0400571961070998,0.00298562166735644,-0.0039274708739304,0.00831791383270756,-0.00844416411332878,0.00315866993587483,-0.00984715384863457,0.0021690092373612,-0.0015160312475803,-0.000909961738216824,-0.0030011366177416,0.00149817698319378,-0.00453091087563586,0.000798790702009598,-0.00196020759351884,-0.000395649925540496,-0.00148269060038021,0.000354753323245668,"K6","Control"
-0.186418264837327,0.0952067193161307,0.108710406617462,-0.0559582460474188,-0.00220531356071589,0.00698084777084999,-0.0218439090190523,0.0139316455023286,-0.0190480584402933,-0.0215421652701591,-0.0627543429373311,-0.0257750751551593,0.00613568583503967,-0.0172720643052423,-0.0538639256169386,-0.0582029734779905,-0.0141379707109071,-0.00284136353179762,0.0833283190026187,0.00256004468833353,-0.0369681278077122,0.0161275594762055,-0.038674533316171,"M1","Model"
-0.144572688542079,0.0799485530326877,0.0495331691862074,-0.0246348668569248,0.00356542941358563,0.0109945856646788,0.0232220707263785,0.00430501284029474,0.00166803996686254,0.104309052691383,0.172795533756431,0.0333527296063093,0.0154648749025938,-0.00712229889283647,-0.00415592469654471,-0.0142220933848068,0.00755040129408517,0.0587505867338683,0.0286791573702582,0.0152177846849994,0.00928123068477055,-0.00620702943996941,-0.000451889481396169,"M2","Model"
-0.163635374205414,0.0962777421280719,0.119236272992134,-0.0692785272293166,0.0018842096349961,0.00819801345750135,-0.0083968310483691,0.0115194309380195,-0.0127043106920364,-0.0319623108261486,-0.0599991058621584,-0.0152914495559697,-0.0108574156084513,-0.0082243934039158,-0.0129694891717377,-0.00970580911208823,-0.0196963726139155,0.0367129706184316,-0.00780385247406766,-0.00429766424288867,0.0256870806311055,-0.0736374698952243,0.0685151227707492,"M3","Model"
-0.150455859641224,0.099730567694959,0.12062294693917,-0.0719876909205436,0.0135563569100963,0.0102701165112373,-0.011312972040306,0.0220576412132904,-0.0234994561912444,-0.0195010336182456,-0.0688248305745875,-0.00508142767916965,0.00137369284623091,-0.000810153765877189,0.0682682289417213,0.0383909417282758,0.0395260953554706,0.0624203027047288,-0.027375394908128,0.0226783522021671,0.0215056241970853,0.0483252405208932,-0.0281787209790287,"M4","Model"
-0.1743621255763,0.108233274249463,0.111194005564687,-0.0664363541356068,0.000534286678885819,0.0168793783834877,0.00216114488792663,0.00815669936745288,-0.00790069553540051,0.0110226251152503,0.0366178925519044,0.010290062676575,0.0050727846484461,0.0119491607691402,-0.00255527887172505,0.0099948328630752,7.25311522743183e-05,-0.0850822951336301,-0.00986841022784499,0.00894520009317802,-0.00583844486159169,0.0607517558514525,0.0630618898612146,"M5","Model"
-0.166637773302781,0.104900131951356,0.11098140174334,-0.0705263924670124,-1.62518124637622e-05,0.0117611855583894,0.00601529059059296,0.00644023592966481,-0.00711717873407937,0.0100389773679482,0.0347471113284878,0.00870173819799085,0.00306692046458511,0.0146378245328384,0.00316693287625895,0.0258994584137034,-0.00526692935996211,-0.0563942987335741,-0.0532139917305418,-0.0384179286476523,-0.013299075931463,-0.0519073523545289,-0.064466302460433,"M6","Model"
0.322366024479367,0.0275114493185259,-0.00474389516294462,0.0168316714477084,-0.0215982708161119,0.129028102746293,0.0245388306547164,-0.121999523783437,-0.0738322724570608,-0.00211342584126934,-0.0256648601940245,0.0363171423209906,0.104310121102664,0.0709682746851568,-0.00624942610914359,-0.00670792252980032,-0.000557040969772438,0.00692462168252668,0.00233873625715208,-0.000405396769724492,0.00129593826160791,-0.00182777659406664,0.00135621729203579,"Y1","LVX"
0.429574348671171,0.0320706340831864,0.0350517156630089,-0.0427907319111027,0.0336767820908551,-0.206689489622662,0.00358117348767716,0.0153987413524593,-0.0168188252153048,-0.0600985469613935,0.00767702694869728,0.121872590223582,0.0209962971120363,-0.00495675791860398,-0.00634032852366517,-0.00835399301687626,-0.000513760757423912,0.00176480241020351,0.00107174908128148,-0.00158091147982937,-0.00098917223456185,0.00138287163928804,-0.000123114009315028,"Y2","LVX"
0.394162645494356,0.0285832937285357,0.0215000299645803,-0.033850989108232,0.00499255559300374,-0.0995602910300877,0.00386926757896293,0.00305645733605978,0.0341711969683354,0.0540706798028699,0.00640523590463509,-0.157151079875459,-0.0233902019349136,0.0832570444878968,0.00170239764295187,-0.000256858265191931,0.00406137161800646,-0.00040602235182586,0.0062268504704536,0.00342210310612949,0.00496469370498209,-0.000547004044041971,-2.84963193259456e-05,"Y3","LVX"
0.360058050879143,0.0246050018643745,0.00765330803324721,0.00218812376797656,-0.00716322994154546,0.0320017578310352,0.00399565264373955,-0.0939288251642528,-0.100694287514513,0.0342614900005254,0.00471622720367207,-0.0246230334092115,-0.11104776997838,-0.0986552830535199,0.00486511120233902,0.00871324860024976,-0.00213782537021118,-0.00779557869502972,-0.00478949509907534,-0.00182414466094668,-0.005151049674383,0.00255213815020189,-0.000654443531379131,"Y4","LVX"
0.373608445481372,0.0258520021225364,0.00751518692682638,0.010554241758227,-0.0225110345387686,0.0633550762864243,-0.00890537803166611,0.0763003447642929,0.101327099746041,0.00376438472407162,-0.00202021491847491,-0.0432172180012114,0.109489665411421,-0.0977790820279087,0.0032148225592587,0.0128505097455458,-0.00248404286677914,-0.00606543450715918,-0.007258897491756,-0.0041164779716043,-0.0027296807236565,-0.000730052901335596,0.00231786051391133,"Y5","LVX"
0.318201736619301,0.0131688771411845,0.00916562695700564,0.0368105851874776,-0.0252034144066042,0.14241961742133,-0.0244468616214996,0.115877004021526,0.0508573937793109,-0.038903391957284,0.00968869120908745,0.0662392773403042,-0.106483703076631,0.0540509037541662,-0.00637924574843895,-0.00996948216062834,0.00107044127282971,0.00473776100337517,0.00489725332845549,0.00279729032035982,-0.000881235675167361,0.000954501294420364,-0.00330502047010271,"Y6","LVX"
-0.106472370589878,0.06155329889319,-0.181730494225058,-0.0156513855475788,-0.0034904131651992,-0.00440140994822445,0.157360190145385,0.0258732560909852,0.00020003481173384,-0.00242943274405632,-0.0287770557589043,0.0112924801325576,-0.00940049934196653,0.000854977761826513,0.0236818222328461,0.0660393968100898,0.0265704716234292,-0.0154565537295199,0.0669398602826485,-0.028366844303681,0.005287815848497,-0.013095577797784,0.00591636944954476,"Z1","HQQD"
-0.141355577306773,0.0559852355034356,-0.0349365081360366,0.00740683097461178,-0.0205942993879826,-0.00528096889166324,-0.0251532225533288,-0.150524890584139,0.146992582360452,-0.120934958112551,0.0468546396731043,-0.0102711274842517,-0.0292501831119401,-0.00412049335666645,0.00564848059402764,0.00784502553472262,0.00142772984663275,0.00557883191600208,0.00686958827914506,0.00867564453104277,0.00141129857521571,0.00242121673191103,-0.00430984752185179,"Z2","HQQD"
-0.0944083003506115,0.0663126083039784,-0.13447286216957,-0.0011974048105651,0.0103448723894335,-0.0249209200818628,-0.0881904482360252,-0.0433780279515731,0.0853576128164269,0.157355014309879,-0.0962602680961863,0.0706874557933717,-0.0143293537365474,0.00318274698985724,-0.00294062446983331,-0.00471380843240076,-0.0037530596201822,-0.00753615402587991,-0.0071881423554226,0.00025930881109695,0.00308577327333221,-0.000907082353924459,0.000492761744344147,"Z3","HQQD"
-0.113376425848793,0.0655334708029395,-0.187141121232204,0.0109429267706137,-0.0010113730521248,-0.0114280076586554,-0.0954061117511069,0.0290250931332544,-0.0541374873323044,-0.0339018428863236,0.0315938903286721,-0.027538800857327,0.0112681594864939,0.00927816485811748,0.00907527522807815,0.0029274657763243,-0.0101435792401655,0.0396998048006676,-0.0201699560886268,-0.0708430282484207,-0.0586654891665722,0.0185342834379079,0.0198966432872654,"Z4","HQQD"
-0.098042589549304,0.0610915152819808,-0.199307286359158,0.0232178830179411,-0.00329659274562842,-0.00806218934042871,-0.119096100222176,0.0409939307253385,-0.0803427294456597,-0.0441819931235751,0.0290737494440323,-0.0247931879907463,0.0215834183805133,-0.00319995421573537,-0.00501979026966729,0.00671558681811747,0.0117205709165165,-0.0356618577860524,0.0136652870021324,0.0579828657929313,0.0524460593976374,-0.0188948581795666,-0.014383324073231,"Z5","HQQD"
-0.117096434972763,0.0616147634139836,-0.176092217773414,-0.0199286630010774,-0.00414765759398729,-0.00386607160894445,0.148556901173732,0.0205884512478141,0.00199604607535017,-0.0127541919629352,-0.0137307145738003,-0.0145012621776102,-0.00692988250316501,-0.00747122555811764,-0.0243158424584209,-0.0709223993176282,-0.0313475648157961,0.0101147671451903,-0.0666678824180095,0.0326535309516759,-0.000735939076272787,0.0154834157427972,-0.00874070336538169,"Z6","HQQD"
