Betweenness,Closeness,Degree,Eigenvector,Information,LAC,name,Network,selected,shared name,Subgragh
71.17936507936506,0.6923076923076923,15.0,0.3000748455524444,4.493764400482178,6.266666666666667,PTGS2,11.168506493506491,False,PTGS2,3321.541015625
29.304761904761907,0.627906976744186,13.0,0.2808443903923034,4.332354068756104,6.461538461538462,MAPK14,10.439935064935064,False,MAPK14,2909.588134765625
12.576190476190478,0.5510204081632653,8.0,0.1896336525678634,3.735950708389282,4.25,PGR,5.385714285714285,False,PGR,1328.3790283203125
9.55,0.5625,8.0,0.2047909498214721,3.735950708389282,5.5,SIRT1,6.642857142857142,False,SIRT1,1548.41015625
62.66825396825397,0.6136363636363636,11.0,0.243011012673378,4.134352207183838,5.636363636363637,PPARG,7.298809523809524,False,PPARG,2179.6943359375
24.704761904761902,0.627906976744186,12.0,0.2640774846076965,4.2386627197265625,6.166666666666667,PTPRC,9.271428571428572,False,PTPRC,2572.962158203125
3.019047619047619,0.574468085106383,9.0,0.2346433699131012,3.885727882385254,6.666666666666667,CASP1,7.832142857142857,False,CASP1,2031.47900390625
95.74444444444444,0.75,18.0,0.3419427871704101,4.686758995056152,6.666666666666667,BCL2,14.890743570155337,False,BCL2,4311.279296875
150.91507936507938,0.8181818181818182,21.0,0.370460569858551,4.83786678314209,6.666666666666667,AKT1,19.117366946778716,False,AKT1,5060.18408203125
65.08571428571429,0.6923076923076923,16.0,0.3187585473060608,4.563777446746826,6.875,MMP9,13.796753246753246,False,MMP9,3747.78662109375
