"Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","Axis.16","Axis.17","Axis.18","Axis.19","Sample","Group"
-0.133967407618875,0.0174699424514569,0.0363309992855397,0.0110815340482962,-0.0581774613685859,-0.051584816624417,0.0791459200858711,-0.0249722043843577,-0.00311365863123479,-0.00126171232118539,0.00666574181084352,0.00968488783967613,0.0182753520263231,0.0371816116318692,-0.0143160356290975,0.0174082927146932,-0.00643624492549502,0.0142808799917629,-6.02089335942484e-05,"K1","Control"
-0.105476714756494,0.00524784024606269,0.013062362898142,0.0107797838754119,-0.0397687020567748,-0.0455827620227412,0.126525343619107,-0.0097122270244673,-0.0103544745445881,0.0694798287346597,-0.00458607581372645,-0.0350012985504064,-0.00633370403788783,0.015194789770807,0.00964728096207704,-0.0100910077758099,0.0065123490683322,-0.0104134098340467,-0.00101067478808877,"K2","Control"
-0.0698364334309897,-0.0974665691877719,-0.0700107265971716,-0.0769192549395619,-0.0290878144858991,-0.0175743244149788,-0.0181972673411287,0.0267226920437424,0.0293833575692094,-0.00268051476726103,0.06774520214968,0.00448435504916782,0.0390188832260466,-0.00934965221478195,-0.0014247826103959,0.00501761985642989,-0.00075230659004122,-0.0103576831494322,0.000562471692937602,"K3","Control"
-0.0779121902890563,-0.131402209941789,-0.0490206915422106,-0.102473477188229,-0.0270796877779931,0.00874235244589929,-0.0125544261623053,0.0476556032455162,0.0447125237316291,0.0095820292192997,-0.0504134022266603,-0.00319967551426415,0.0220409290004572,0.00873015259593644,-0.00353324162757977,-0.0278827778246599,-0.00066977723795843,0.0131462575252476,0.000818662438074731,"K4","Control"
-0.0777848924449264,-0.122741293824157,-0.0782977696975155,-0.0937989917939783,0.010458956367221,-0.0308440846015249,0.00879056096681243,0.0207403268876969,-0.0197368400191407,-0.0429101046126098,-0.00114622392827335,0.00595556934211018,-0.0296274512764125,-0.00784819124175305,0.0171355380577711,0.018168483637412,0.0084769287169345,-0.00692457179795502,-0.00205693327933163,"K5","Control"
0.0106149678165315,-0.178336764341564,0.0598584602529365,0.0297350075851529,0.0159883854260485,0.161902827480158,0.0377842646961249,-0.0260986237521859,-0.0444159123464457,-0.0131951172539293,-0.0124872028286619,-0.0183556386928931,-0.0101224074321809,0.00226821515374434,-0.0011164050058576,0.00669218207589823,-0.00851788026913133,-0.00252691708230723,-0.00352600124979007,"K6","Control"
-0.139350775086019,-0.00188560603079112,0.0845949759647463,0.0146600091388512,-0.0020645167965571,-0.00284299082756111,-0.0121554827556439,6.88181301307047e-07,-0.0133292144141555,-0.00620014586516226,0.00609208004995635,-0.0100122069950363,-0.00165270697677191,-0.0194637969976035,0.050360978210191,-0.0082613921878414,0.00416083443472566,0.0107196023057696,0.00759029755735077,"M1","Model"
-0.123995133684962,0.0371782180156764,0.0536798153110087,0.0146561582905119,-0.0236713907571021,0.00147384376613888,-0.020569091605235,0.040638979969928,0.0190670300950378,0.0280189333862816,-0.0748623401169189,0.0236186680826559,-0.0100129059317852,-0.0191691671961782,-0.0289758420460282,0.00844135656235066,0.00501470109331469,-0.0135171077395735,0.00407249588216519,"M2","Model"
-0.120595423550935,0.00665066293055101,0.0880935387655808,-0.0065559905619434,-0.0139384245145722,0.00702335292493023,-0.0230932456109231,-0.0142303345713583,0.00610832356955733,-0.01243195519271,0.0168086555390983,0.00266373644601292,-4.36166603273257e-05,-0.0202446494444045,-0.0188662151317296,0.00579073597780982,-0.0179740283329179,0.00070225172272561,0.0100408381959015,"M3","Model"
-0.111698014744734,0.0374725898993395,0.0760402429767699,0.000392750055365405,-0.000242716584468312,-0.00226611876745184,-0.0324356173827322,-0.00589811816459964,0.00101534148998029,0.0330957262857595,0.0310036843347506,-0.00987829890726749,0.0214392549008088,0.000431987299035301,0.00351937960869966,-0.00500835873699915,-0.00310957985079204,-0.01228852244246,-0.000102015697774934,"M4","Model"
-0.127364784258985,0.0419095612415301,0.0570762527529664,0.00651970341884277,-0.0100508875679219,-0.0183196213824168,-0.0376635646344943,-0.0136331063974092,0.0102456447651332,-0.00944726143794624,3.98835917112609e-05,-0.00569872848692306,0.0135802516233588,-0.0232384808290116,-0.0214579606578788,-0.00419887582322399,-0.00283400815748998,0.00466301565967538,-0.0166351180920302,"M5","Model"
-0.144703510367299,0.0356153003586402,0.0818675270775936,0.000621092089478271,-0.00228249526251479,0.00464134621021738,-0.0469109013293006,0.0184071864799708,-0.00216294989056709,-0.00874940575437563,-0.00543801870747408,0.0184227295151655,0.00171840221821702,0.021707487520644,0.0194230038993856,0.0267252402643188,0.0153813140866947,0.00618683879952898,-0.00255745265274481,"M6","Model"
0.275369507757573,-0.131149227151456,0.0410975013645414,0.0484482583100648,0.0438167521940806,-0.14281182587033,-0.0289987425199675,-0.0276033556635004,0.00209115779669126,-0.0303881501437738,-0.00957879903022358,-0.032618884862662,-0.0184516282210017,0.00585474753350503,-0.0217790710192275,0.00351038848577213,-0.000697683704878776,0.00068335361463966,0.00207475870687598,"Y1","LVX"
0.310902731367954,0.134298159442319,0.0421074514153983,-0.147652796529573,-0.0671736327561153,0.0628738297767065,0.00852352497547056,-0.00186903485743024,0.0565272516576134,-0.0186480863201292,0.0187078350231275,-0.0239465491714777,-0.0368614459277557,0.013009209776277,-0.00985308091669382,0.00117149520739388,0.00289413247287067,0.00116953086743855,0.000660585583791404,"Y2","LVX"
0.278368201021324,0.0564558315425941,-0.00199498084614821,-0.0470056296764048,0.0724397948051422,0.00684399380092782,-0.0741823338791963,0.0269512087495595,-0.0677134842659928,0.0437777704381129,-0.0191024508733591,-0.0176390317986416,0.0335166517461183,0.0357816328316491,0.010798251264395,0.00334798631579895,-0.00432683757276405,-0.00239979184264554,0.000108987359689647,"Y3","LVX"
0.274789647819665,0.0338471179612141,0.0599509597110979,-0.0103814162061197,0.130323970162952,-0.00505084249264467,0.101027325874794,-0.0016529663239654,0.046154525505151,-0.0256669381703082,-0.00964229990022664,0.0427413742021792,0.0279982488324091,-0.0218508294136518,0.0161077834870086,-0.00198782551869239,-0.000863958869400856,-0.00195945664693975,-0.00130392684790393,"Y4","LVX"
0.265586300858001,-0.0168214095113512,-0.00485136361295205,0.0213304472859863,-0.0887908116397889,-0.0205338919299893,0.0102993491689034,0.0561333901452555,-0.0811219289272581,0.0411285919374061,0.0264724915342065,0.0500401987247413,-0.0241492129314936,-0.0237482228438987,-0.00461659886176552,-0.00872868483728095,-0.00211918198663937,0.00599516661562513,-0.00164561079043946,"Y5","LVX"
0.260124051035947,-0.0239039779453638,-0.0633475482382821,0.135221210916073,-0.120004690481266,0.0301643956839503,-0.0378366092432906,-0.0702574210709502,0.0433239580599749,-0.000639673656965574,-0.013341808480107,-0.0030042212165381,0.0255705134704418,-0.0124310828307375,0.0173730591524397,0.00206137301099664,0.00826448352995636,-0.00175341408213795,0.000486564965200678,"Y6","LVX"
-0.0917507078522063,0.035427572409406,-0.127637681326688,-0.0427533066694862,0.0541187067163715,-0.0170384894426135,-0.0292835126022991,-0.0829942013231473,0.0276492490760347,0.0690802510019319,-0.0125447194627758,0.0127542581125906,-0.0342660277162887,-0.011765855918952,0.020979921893662,0.00842034871315173,-0.0135502186863125,0.00349648570411523,-0.00197065576704471,"Z1","HQQD"
-0.130391414061575,0.0613164510290907,0.0326048822127151,0.0166383844189382,-0.00484215263023958,-0.0262322911057923,-0.031342807375424,-0.0271599402161961,-0.02313869344349,-0.0702408649468925,-0.00074253022550725,0.0136866929988265,-0.0239035682011886,0.0208123596589828,0.0165657214123372,-0.0324004925310337,-0.00260975218891163,-0.00871557897309418,-0.00235299952600089,"Z2","HQQD"
-0.0466015552981611,-0.0326346559879022,-0.0155337749007655,0.137242563566496,0.0946457750668314,0.041150497378194,-0.0203130471906327,0.0624578709975652,0.063417911022747,0.0366315512788366,0.0441322770656111,0.00147950065030292,-0.0305458316578194,0.0218308022147261,-0.0130619408812599,-0.00681457635187913,0.00589060686009405,0.00433353061630723,0.000142386019616084,"Z3","HQQD"
-0.0418732801801836,0.0662224383751168,-0.146916067329211,0.0673648656868934,-0.0199310313931223,0.0196550219828994,0.020122370771166,0.0211732488424459,-0.00517530862747599,-0.0522101027462559,-0.0116424691591993,0.0237623445703924,0.00642138278750709,0.0375216743015714,-0.00441436034332219,0.0020796212850904,-0.00906573275965095,-0.0044153840968667,0.00215728996690931,"Z4","HQQD"
-0.0478680708433408,0.127848834940364,-0.100261544323289,0.051765640075354,0.0201265350814279,0.000658753077646781,0.0276775332905827,0.0703129691428306,-0.0233579489897493,-0.0332340681354597,-0.00694296016408726,-0.0572613925486088,0.0046904161076874,-0.0410107110614212,0.00165719697172348,0.00666620674262407,-0.0023975214828172,0.00489761836972549,-0.000232803637909946,"Z5","HQQD"
-0.0845850992082536,0.039381193078785,-0.0684928215748035,-0.0389165451964196,0.0651875402528466,0.035551844954793,0.00564045618374154,-0.0851126309362441,-0.0560758602386622,-0.00289058095732204,0.0148034498182163,0.00732161121089907,0.0117002210315383,-0.0102040302963538,-0.0401525801888546,-0.0101273392623189,0.0193293623522782,0.0049973058949003,0.00473906289413993,"Z6","HQQD"
