"Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Sample","Group"
-0.130465102348843,0.0123685973587891,-0.0254652147423586,-0.0566474810371584,-0.0372975371861504,0.0135431918866353,0.00967129355798274,-0.00899637931143029,-0.0061805241939847,0.0137912900941698,-0.00078176585044439,"K1","Control"
-0.117243651168563,0.0358485832798037,-0.0251294123254645,-0.0664358631835427,-0.0435389964457631,-0.000787436752963604,-0.0240373918429893,-0.00628888938598531,-0.00530469575849594,-0.00941977999657864,-0.000180950765343438,"K2","Control"
-0.159130113502095,-0.0192535088643166,0.00278876611195977,-0.0490925374051807,0.0390394163073188,0.0266491307417622,-0.0120704130140746,-0.0045920186563101,0.0210210065693813,-0.00458189921569027,0.00200329246478112,"K3","Control"
-0.219523373147329,-0.0575292622763803,-0.00517398155343344,-0.0282712564643385,0.0290851462025742,-0.0229285273075625,-0.0140007067675036,0.0058571653197916,-0.0269440812844774,-0.000863075158758955,0.00221794150624574,"K4","Control"
-0.189090026952486,-0.0411646510959903,0.00300472651937635,-0.033400031901318,0.0485441466914152,-0.00785413010514498,-0.0171171932792547,0.0057435694615512,0.00874927207158506,0.00361277432379491,-0.00367491087281398,"K5","Control"
-0.0632972094766323,0.163365024272352,-0.086012259651802,0.0527098541147075,0.0175237833054369,0.0367910498262815,-0.00233490373418035,-0.0142324104746015,-0.00518186595322715,-0.000609531959785208,1.50103759213294e-05,"K6","Control"
-0.181579173278936,-0.0707284664337545,-0.0219074624442646,0.0256753102050942,0.000654065999632202,-0.00676310078484829,0.00298975984394806,0.0198185227239528,0.00447077962464855,0.00704920131115143,-0.00340813893760528,"M1","Model"
-0.155182027349111,-0.0599915337964272,-0.0167106991065188,0.0183998799290482,0.000913487821834604,0.00328850860455783,0.0112312582483754,-0.0315494432073756,0.011492686661411,-0.0122086685186157,-0.00206018705995721,"M2","Model"
-0.161322179823805,-0.0570317974695957,-0.0167668326858469,0.0153705265730501,-0.00129545370698091,0.000903463649699303,0.00633085974952271,0.00382759860925886,0.0180330352872593,0.00768364993131577,0.00370017274311731,"M3","Model"
-0.187316502932116,-0.0745744898071876,0.00308766507580273,0.0340086328247047,-0.00920746502919157,-0.0276725023990921,0.0175316851754084,-0.00775955608710427,-0.000931655659385239,0.0049381148055814,-0.0016165027711074,"M4","Model"
